SampleID,t0,t1,max_amp,mean_amp,median_amp,impulses_ch6,impulses_ch5,impulses_ch4,impulses_ch3,impulses_ch2,impulses_ch1,ch6_max,ch6_mean,ch6_median,ch5_max,ch5_mean,ch5_median,ch4_max,ch4_mean,ch4_median,ch3_max,ch3_mean,ch3_median,ch2_max,ch2_mean,ch2_median,ch1_max,ch1_mean,ch1_median
167,41,48,0.0666904270829679,0.02110197684568143,0.014590330903435906,2,7,21,48,94,175,0.0666904270829679,0.0666904270829679,0.0666904270829679,0.2667617083318716,0.13324840130025428,0.11125481384028185,1.0670468333274865,0.38015251653247056,0.2920015121556217,4.268187333309946,1.5206100661298823,1.1680060486224868,17.072749333239784,5.402106072494446,3.735124711279592,68.29099733295914,21.608424289977783,14.940498845118368
6,80,90,0.03272089460666667,0.009122748313793864,0.004644247610522959,0,3,12,39,92,290,,,,0.13088357842666667,0.08926047254578887,0.08926047254578887,0.5235343137066667,0.21052531399194785,0.13633053974585246,2.094137254826667,0.6810531416246874,0.3284464513282429,8.376549019306667,2.335423568331229,1.1889273882938776,33.50619607722667,9.341694273324917,4.75570955317551
8,115,125,0.10295887413809866,0.020696188599347517,0.004961781714944249,2,9,27,51,88,226,0.10295887413809866,0.10295887413809866,0.10295887413809866,0.41183549655239465,0.20225829301801418,0.1565863343853327,1.6473419862095786,0.5722212306454856,0.3569106511495241,6.5893679448383145,1.5898437711250284,0.4712247525823149,26.357471779353258,5.298224281432964,1.2702161190257277,105.42988711741303,21.192897125731857,5.080864476102911
168,150,160,0.05691690812863495,0.013403884254664827,0.006156785479491319,1,4,25,57,80,190,0.029473338630932152,0.029473338630932152,0.029473338630932152,0.2276676325145398,0.14254293552479635,0.11789335452372861,0.9106705300581592,0.41515799817105103,0.32827127814448254,3.642682120232637,1.145192423739971,0.7305495291153982,14.570728480930548,3.4313943691941957,1.5761370827497776,58.28291392372219,13.725577476776783,6.30454833099911
150,194,199,0.029839490319102248,0.012567203453893838,0.007193660743520251,0,3,16,30,67,159,,,,0.11935796127640899,0.11151705373231166,0.11151705373231166,0.47743184510563597,0.2805833934127853,0.28954960327068774,1.9097273804225439,0.9369964127156474,0.6575784871540727,7.6389095216901755,3.2172040841968226,1.8415771503411842,30.555638086760702,12.86881633678729,7.366308601364737
11,226,234,0.0329437934715081,0.015043728784366914,0.019205510094571193,0,4,25,60,82,231,,,,0.1317751738860324,0.1003515325208035,0.0964044579094484,0.5271006955441296,0.3415287162568951,0.33833980424475096,2.1084027821765186,1.195040820060429,1.2889049306847011,8.433611128706074,3.85119456879793,4.9166105842102255,33.7344445148243,15.40477827519172,19.666442336840902
22,265,275,0.03994736505496925,0.011688893372087793,0.003397922056133511,0,5,23,60,113,285,,,,0.159789460219877,0.10728968237813964,0.11584662836213595,0.639157840879508,0.3585273739794264,0.3771609026481861,2.556631363518032,0.9748743778209983,0.6258632258417884,10.226525454072128,2.992356703254475,0.8698680463701788,40.90610181628851,11.9694268130179,3.479472185480715
152,310,320,0.0655016295576487,0.015199773966249764,0.005385260976923325,2,8,26,44,110,293,0.0655016295576487,0.060973715406615545,0.060973715406615545,0.2620065182305948,0.17569680539036417,0.22578320502232954,1.0480260729223791,0.4769260972418893,0.17627065687212223,4.192104291689517,1.6471964412268132,0.66694685708959,16.768417166758066,3.8911421353599396,1.378626810092371,67.07366866703227,15.564568541439758,5.514507240369484
12,357,360,0.02836964707378332,0.014871713883668954,0.013854636629593322,0,5,9,23,42,93,,,,0.11347858829513328,0.09828632883250962,0.09828632883250962,0.45391435318053314,0.29908757510917316,0.33237627747954385,1.8156574127221325,0.951789688554813,0.8866967442939726,7.26262965088853,3.807158754219252,3.5467869771758904,29.05051860355412,15.228635016877009,14.187147908703562
96,392,400,0.060918129563253764,0.012276827648125096,0.0032922321007487045,0,6,19,35,88,234,,,,0.24367251825301506,0.16543150923295277,0.16543150923295277,0.9746900730120602,0.3855196175340651,0.23530998836328879,3.898760292048241,1.09197237506292,0.4372527925452763,15.595041168192964,3.1428678779200245,0.8428114177916683,62.380164672771855,12.571471511680098,3.3712456711666734
