Date_Time,rms,maa,peak,mean_envelope,std_envelope,p90_envelope,date_str,tau
2023-07-14 18:00:00,1.0240113075910143e-05,7.929147647197552e-06,0.00019012215889222458,1.2502753935335815e-05,7.3075285509042165e-06,2.1718746636232256e-05,071423-180000,0.562168481
2023-07-14 19:00:00,1.087634890677491e-05,8.215444601886162e-06,0.00022252934506703558,1.2948694722190542e-05,8.301881133870983e-06,2.2582291106424236e-05,071423-190000,0.475692385
2023-07-14 19:30:00,1.0643006377590318e-05,8.110031022729533e-06,0.00011666587022931963,1.2775308461691125e-05,7.958537459777315e-06,2.2130704825700354e-05,071423-193000,0.562168481
2023-07-15 17:30:00,9.828246646718653e-06,7.618825773234369e-06,0.00012098682838596109,1.201598637719356e-05,6.98604308984705e-06,2.083081442805647e-05,071523-173000,0.562700329
2023-07-17 17:45:00,1.0337988599848034e-05,7.88539835411535e-06,0.00011018443299435742,1.2441005997356391e-05,7.679148605551583e-06,2.174340867504754e-05,071723-174500,0.503233779
2023-07-18 14:45:00,1.1867313383022488e-05,8.983496547244359e-06,0.00020308503336214897,1.4144184590895953e-05,9.033723370055089e-06,2.4765582034495437e-05,071823-144500,0.503233779
2023-07-18 18:00:00,1.0313337596970513e-05,7.659681363424064e-06,0.00023333174045863926,1.2091352270409813e-05,8.156533129380443e-06,2.102407362639881e-05,071823-180000,0.503233779
2023-07-18 19:15:00,1.0354987174031699e-05,7.711136038615908e-06,0.00017715928442230017,1.2161935260603983e-05,8.157113769370315e-06,2.123747606008504e-05,071823-191500,0.503233779
2023-07-18 20:00:00,1.0651687985379531e-05,8.060155473213228e-06,0.00014907305640413063,1.270531558039739e-05,8.092636318217652e-06,2.234063713350244e-05,071823-200000,0.503233779
2023-07-22 13:30:00,1.1702367312793333e-05,8.944336026807724e-06,0.00014907305640413063,1.4094057723963646e-05,8.674562617247677e-06,2.468289355581843e-05,072223-133000,0.562168481
2023-07-23 22:30:00,1.0386198569652944e-05,7.98158539752556e-06,9.506107944611229e-05,1.2582655989967347e-05,7.577743687414621e-06,2.20842413296608e-05,072323-223000,0.475692385
2023-07-24 00:45:00,1.1404927743207838e-05,8.647146044385219e-06,0.0002895041964949783,1.3609142101353675e-05,8.656537063230536e-06,2.402449927105871e-05,072423-004500,0.562168481
2023-07-24 14:00:00,1.2220668385873344e-05,9.42960444962924e-06,0.00015555449363909284,1.4861526221896277e-05,8.82179989781482e-06,2.585996730173506e-05,072423-140000,0.35506608
2023-07-24 15:45:00,1.269066370453414e-05,9.58777013453533e-06,0.0002182083869103941,1.5080236725221441e-05,9.730948791597182e-06,2.6403321185912455e-05,072423-154500,0.562168481
2023-07-24 17:45:00,1.0525796831436615e-05,7.969924852658781e-06,0.00012962874469924402,1.257013631774698e-05,7.97345685068836e-06,2.1921143941074672e-05,072423-174500,0.475692385
2023-07-24 18:45:00,1.0155468712654052e-05,7.73146626105397e-06,0.00016851736810901723,1.220648159686601e-05,7.567575198310437e-06,2.137930305002601e-05,072423-184500,0.475692385
2023-07-24 19:15:00,1.0887107968743639e-05,8.114360145962056e-06,0.00022468982414535632,1.2805372501325763e-05,8.5486823439542e-06,2.2278821536138366e-05,072423-191500,0.562700329
2023-07-24 19:45:00,1.070148266893239e-05,8.11227396907426e-06,0.00021388742875375264,1.2789927410723178e-05,8.090775968968463e-06,2.2272709470740643e-05,072423-194500,0.562700329
2023-08-02 13:00:00,1.1710399147492586e-05,8.646423435169682e-06,0.00021604790783207338,1.3625053832421142e-05,9.414057098103894e-06,2.3928058730989942e-05,080223-130000,0.449392239
2023-08-02 13:45:00,1.3091954377978316e-05,9.822126592017132e-06,0.00017715928442230017,1.543224162604378e-05,1.0229586777907157e-05,2.727872442379367e-05,080223-134500,0.376777213
2023-08-03 16:15:00,1.1849410736200346e-05,8.831211349988335e-06,0.0003283928199047515,1.3920555181164288e-05,9.329206994710877e-06,2.462676533281348e-05,080323-161500,0.376777213
2023-08-03 17:45:00,1.1587789597831307e-05,8.614389392962669e-06,0.00026573892663345026,1.3543603260569718e-05,9.22627560493997e-06,2.3897207279963835e-05,080323-174500,0.449392239
2023-08-03 18:00:00,1.059482194011467e-05,7.983210247626036e-06,0.00015771497271741358,1.2600655110101301e-05,8.107015726663013e-06,2.198494333122679e-05,080323-180000,0.35506608
2023-08-04 13:45:00,1.2688345260717202e-05,9.5774045707034e-06,0.00019876407520550752,1.5081408447538048e-05,9.723106372945362e-06,2.6400586763981757e-05,080423-134500,0.35506608
2023-08-04 14:45:00,1.258486087520509e-05,9.458776632739688e-06,0.0004104910248809394,1.4888615578985071e-05,9.751219409012442e-06,2.594778423700675e-05,080423-144500,0.35506608
2023-08-04 16:30:00,1.2624465186560511e-05,9.377573320080143e-06,0.00026573892663345026,1.477933040165428e-05,1.0016228377690245e-05,2.6016115747217654e-05,080423-163000,0.35506608
2023-08-04 23:45:00,1.0684195468531826e-05,7.980141812109659e-06,0.00019876407520550752,1.2579283023381457e-05,8.370483825638688e-06,2.2132398582652222e-05,080423-234500,0.449392239
