,09/14/23 00:00:00,09/14/23 00:15:00,09/14/23 00:30:00,09/14/23 00:45:00,09/14/23 01:00:00,09/14/23 01:15:00,09/14/23 01:30:00,09/14/23 01:45:00,09/14/23 02:00:00,09/14/23 02:15:00,09/14/23 02:30:00,09/14/23 02:45:00,09/14/23 03:00:00,09/14/23 03:15:00,09/14/23 03:30:00,09/14/23 03:45:00,09/14/23 04:00:00,09/14/23 04:15:00,09/14/23 04:30:00,09/14/23 04:45:00,09/14/23 05:00:00,09/14/23 05:15:00,09/14/23 05:30:00,09/14/23 05:45:00,09/14/23 06:00:00,09/14/23 06:15:00,09/14/23 06:30:00,09/14/23 06:45:00,09/14/23 07:00:00,09/14/23 07:15:00,09/14/23 07:30:00,09/14/23 07:45:00,09/14/23 08:00:00,09/14/23 08:15:00,09/14/23 08:30:00,09/14/23 08:45:00,09/14/23 09:00:00,09/14/23 09:15:00,09/14/23 09:30:00,09/14/23 09:45:00,09/14/23 10:00:00,09/14/23 10:15:00,09/14/23 10:30:00,09/14/23 10:45:00,09/14/23 11:00:00,09/14/23 11:15:00,09/14/23 11:30:00,09/14/23 11:45:00,09/14/23 12:00:00,09/14/23 12:15:00,09/14/23 12:30:00,09/14/23 12:45:00,09/14/23 13:00:00,09/14/23 13:15:00,09/14/23 13:30:00,09/14/23 13:45:00,09/14/23 14:00:00,09/14/23 14:15:00,09/14/23 14:30:00,09/14/23 14:45:00,09/14/23 15:00:00,09/14/23 15:15:00,09/14/23 15:30:00,09/14/23 15:45:00,09/14/23 16:00:00,09/14/23 16:15:00,09/14/23 16:30:00,09/14/23 16:45:00,09/14/23 17:00:00,09/14/23 17:15:00,09/14/23 17:30:00,09/14/23 17:45:00,09/14/23 18:00:00,09/14/23 18:15:00,09/14/23 18:30:00,09/14/23 18:45:00,09/14/23 19:00:00,09/14/23 19:15:00,09/14/23 19:30:00,09/14/23 19:45:00,09/14/23 20:00:00,09/14/23 20:15:00,09/14/23 20:30:00,09/14/23 20:45:00,09/14/23 21:00:00,09/14/23 21:15:00,09/14/23 21:30:00,09/14/23 21:45:00,09/14/23 22:00:00,09/14/23 22:15:00,09/14/23 22:30:00,09/14/23 22:45:00,09/14/23 23:00:00,09/14/23 23:15:00,09/14/23 23:30:00,09/14/23 23:45:00,09/15/23 00:00:00
max_amp,0.01604083472774403,0.025793912034061693,0.018638899588638676,0.020109775438701807,0.025673961187576845,0.023742072873083497,0.02174062296517203,0.0192502568668742,0.026158302784794796,0.0205759717674784,0.019826578850177076,0.022966587859368746,0.031215564359008692,0.024692629119376648,0.02076635035359868,0.027519490535027176,0.020987923693112233,0.02034513743967391,0.01711748328266817,0.022198227947335836,0.027560041007360717,0.022554618092709974,0.025245274406727025,0.022961137126441596,0.018319460815794445,0.027774921501104236,0.01915389817398771,0.028771967115376076,0.018743516087467438,0.020955126559492197,0.01819372657405042,0.0240919549860735,0.02554691764881044,0.022628086528585355,0.02305123030632476,0.024951923075701325,0.018370895574875742,0.022450946984850575,0.022904838059510296,0.025362357333501555,0.02679939054089346,0.019433675248599326,0.019901571831312408,0.020997868046227542,0.022424902036816335,0.020403970572142167,0.02080205142500257,0.018686723009922895,0.019884535933469942,0.027394340660411468,0.027900045768984114,0.02047873283173198,0.02129715399095664,0.021108590676465495,0.022675100667954168,0.020536668646356462,0.03468293805621174,0.07570174739415628,0.03718768719846544,0.09050597791084176,0.06748271852422151,0.07765162341019266,0.07392172474653344,0.0824748400084226,0.08795623731396378,0.07517270862796098,0.08657735099409274,0.0753489804272633,0.08679447627237159,0.07190470839829734,0.07679642415921112,0.09630968457524627,0.09972255997190434,0.07766064153206496,0.07552205635741462,0.07144613720158642,0.06372927874966884,0.05923853619127713,0.06708235520995293,0.08005158803316553,0.06484451515162253,0.0649564104963959,0.07515568069100369,0.09028754783549939,0.0727122556794323,0.09291684732876583,0.08742879916601662,0.08597000446137178,0.08507176552143363,0.10117246023466202,0.1233476868257462,0.09592714988183061,0.11402741262010678,0.09646916803598574,0.10631913940695432,0.09206974513098051,0.09070252734137524
mean_amp,0.011368631563472226,0.013351496807465307,0.012323669553038373,0.012038187558625407,0.013446628087502889,0.013482413024842764,0.012856881006707347,0.012684672453904979,0.01331025685234872,0.01298140482994371,0.01292209728112201,0.013125051824205036,0.01361615610203155,0.01312557061707643,0.013110814834872421,0.013588481020532653,0.013240703161990882,0.012793733219538101,0.012376703049079351,0.012792521443828257,0.012568795845733581,0.013300241341780272,0.01247806040956634,0.012546680773409749,0.01277207020925951,0.013090267809976566,0.013364303945734977,0.013456518796953193,0.013299547012355134,0.013228650291878518,0.012845998946418757,0.013558256800564541,0.013169261267750709,0.013553251918619403,0.013035503566389937,0.014015282730150591,0.013320128583605545,0.012974495581941128,0.012066468217726256,0.012562648740606051,0.012131030174404488,0.012678272366125185,0.012327495845469001,0.012383642061134601,0.01233323389615228,0.012396731172909174,0.01279131721037471,0.01169963251445655,0.012418944862194053,0.012525817842120384,0.0171943921471175,0.012314618148569484,0.012988828551729451,0.011836959847154367,0.013041167991798235,0.011430577271127182,0.020688806822961807,0.044532872817260365,0.024954264259169585,0.04059967365990495,0.03879451969032625,0.04833176785793731,0.04389789719868575,0.048708660321337256,0.051693303316783325,0.057882631357631255,0.0542998089169142,0.05327891349546696,0.053050170550538726,0.053036585107977506,0.052763539149480225,0.0578252694875826,0.053042315333885356,0.054539764361364894,0.05209455571055931,0.050746311508417165,0.046222121836928816,0.041326684479896174,0.043582720348471576,0.04362875769781493,0.044653817706593,0.04520890173622413,0.04657877272190026,0.05144506551124242,0.052382146904352875,0.05409192137177368,0.05451940176016945,0.058440183973102036,0.05616301565316551,0.0629382711431141,0.06165187945277103,0.05793827437479677,0.06318513076742806,0.06105176149014182,0.057671245802270836,0.057291178815218696,0.05740533836842352
median_amp,0.01099735422493248,0.012880112963146412,0.011878937276155641,0.011428064205312682,0.013165881175054838,0.013454587403338894,0.012421986772166603,0.012614243964552605,0.013178498596422537,0.012543277450131932,0.012959424427486838,0.012391176774201039,0.012851312826501406,0.012615145771593981,0.013045921514309732,0.012787252207437087,0.012445653463822884,0.012223985808306529,0.012047793566834011,0.012471530311501309,0.01187340098546761,0.012712978693745429,0.012016847245555474,0.011972230323024663,0.01260426789454815,0.011831479024776182,0.01329793483009422,0.013066096979861962,0.013048874480104916,0.012742195155888364,0.012817957264193937,0.012919320331774502,0.01271286330691147,0.01348777591255145,0.012490429302815945,0.013189940554818078,0.013106321772918688,0.012640342272113934,0.011352272707054446,0.01209800863292411,0.01118301670395038,0.012661483784835701,0.01197202404600587,0.011870057259842056,0.01153633033593841,0.011839394565471884,0.012480407774234885,0.011543907693548624,0.012345029274228012,0.01165913792745123,0.016800015457269335,0.011794121770295601,0.012747116198981112,0.011460342236704578,0.012553988310382631,0.011158246448721279,0.020538595709929434,0.043994984616548063,0.023842161208275328,0.03605691645318954,0.0374367566629948,0.048163035101298754,0.04229563233016609,0.04740489539425673,0.0503164497074837,0.057103127307707044,0.05334008602587748,0.0522164799415642,0.05216587274845383,0.052180480837933474,0.05207001691108398,0.05555037274151669,0.04881847767584761,0.05355375080596794,0.04971718544822411,0.05030659530707163,0.04617355687582527,0.04057287717445292,0.04301773651274138,0.04178423359501595,0.04438364737097661,0.044222276094423224,0.04464578648655418,0.05051241202048154,0.05193610178886683,0.05158240396746969,0.05402453511293616,0.057365162145090784,0.05461044717967376,0.062030115136605904,0.06125606691583317,0.05701572676254928,0.06151396573666954,0.05842829214688556,0.05513664779084418,0.054868635855167824,0.05597818622797365
impulses_ch6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,2,1,2,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,3,5,2,1,1,2,0,0
impulses_ch5,0,3,0,4,5,1,0,2,4,0,6,3,1,1,1,9,2,2,1,2,3,3,7,4,2,6,4,5,1,2,0,3,9,5,2,7,6,6,1,2,3,5,3,3,2,4,3,1,3,4,6,1,5,6,5,2,27,82,48,93,49,90,91,86,91,117,130,102,83,90,78,156,92,84,70,73,29,27,40,47,42,65,72,95,104,127,149,161,171,182,203,180,202,203,180,185,172
impulses_ch4,96,150,124,98,168,174,177,122,171,152,147,139,169,144,127,159,156,123,121,132,124,176,109,131,157,154,148,142,140,154,145,137,125,135,141,193,147,124,97,128,130,135,145,91,114,129,131,99,141,102,262,123,137,118,154,117,434,1863,645,1470,1374,2145,1763,2258,2176,2720,2268,2167,2242,2275,2276,2369,2048,2395,2055,2037,1804,1466,1543,1652,1739,1773,1864,2214,2449,2523,2650,2844,2738,3278,3111,2783,3305,3209,2787,2813,2894
impulses_ch3,1800,2236,2153,1914,2414,2650,2138,2292,2315,2241,2227,2296,2301,2167,2210,2161,2165,2223,2173,2099,2066,2164,1902,2135,1980,2162,2153,2238,2400,2282,2135,2231,2152,2206,2114,2359,2322,2036,1954,2029,1942,1977,2016,1834,2010,1869,1985,1865,2098,2052,3541,1949,2230,1821,2173,1711,4752,11993,6485,10064,11717,12586,11869,14029,13790,14007,14244,14118,14163,14497,14139,14091,14110,13962,14416,13973,14149,14028,13748,13516,13659,13565,13409,13713,13694,13662,13451,13487,13817,13728,13601,13105,13411,13424,13007,12752,12861
impulses_ch2,18409,17980,18444,18878,18904,18703,18921,19393,19649,18949,18788,18995,19407,19221,18816,18297,18844,18719,18686,18436,18150,18276,18127,18155,18077,18238,18839,18511,18803,19405,18767,18802,18729,19023,18782,18528,18546,18377,18563,18351,17848,17551,17990,18061,18089,18196,18547,17869,19700,18270,18680,18596,18451,19086,19692,18284,18039,12057,17969,14264,13105,10797,11761,10348,9080,7926,9148,8490,8244,8434,8409,7914,8390,7855,8155,8202,9110,10341,9862,10216,10283,10606,10223,9836,9896,9613,9804,8957,9256,8666,8839,9492,8809,9083,9782,9825,9963
impulses_ch1,17298,15401,16216,16840,14958,16009,16536,16404,16111,15717,15895,15392,15711,16028,16093,16594,15824,16287,16406,16746,16480,16369,16326,16733,16196,16321,15604,15236,14957,15416,15732,15555,15635,14768,15781,15057,15432,15615,16941,16878,17605,16814,17027,16988,16732,17122,16334,17243,16799,16515,11458,16460,15890,16827,14924,17936,9081,3530,7110,4617,4006,3130,3523,2856,2376,2031,2436,2260,2147,2113,2270,2070,2198,2101,2156,2211,2460,2844,2639,2925,2884,2927,2864,2739,2760,2626,2668,2474,2492,2330,2412,2634,2390,2564,2814,2721,2761
max_env_ch6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03136977418510804,0.06188927805342811,0.0,0.0739897339402261,0.0,0.06315111064123245,0.07392172474653344,0.0824748400084226,0.07370093256504227,0.07406632181170822,0.0,0.0,0.0,0.0,0.0,0.07694226287434544,0.057558784295844885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06780156002256833,0.05828772921581556,0.0,0.0,0.08597000446137178,0.0,0.10117246023466202,0.1233476868257462,0.09592714988183061,0.0764424480512544,0.0777735669374479,0.10439318345427068,0.0,0.0
