Calibration_Time,Match_Time,rms_cal,maa_cal,peak_cal,mean_envelope_cal,std_envelope_cal,p90_envelope_cal,recording,tau_cal,rms_match,maa_match,peak_match,mean_envelope_match,std_envelope_match,p90_envelope_match,date_str,tau_match
9/20/2023 14:00,5/3/2022 16:30,2.46E-05,1.45E-05,0.000866352,2.28E-05,2.63E-05,4.37E-05,flood2,0.368062103,5.06E-06,3.90E-06,5.98E-05,6.15E-06,3.66E-06,1.07E-05,050322-163000,0.369004343
9/20/2023 14:01,5/5/2022 18:15,2.42E-05,1.51E-05,0.000544441,2.38E-05,2.46E-05,4.61E-05,flood2,0.357365,5.10E-06,3.97E-06,6.08E-05,6.26E-06,3.58E-06,1.09E-05,050522-181500,0.357171225
9/20/2023 14:01,5/5/2022 18:00,2.42E-05,1.51E-05,0.000544441,2.38E-05,2.46E-05,4.61E-05,flood2,0.357365,5.08E-06,3.95E-06,6.66E-05,6.22E-06,3.60E-06,1.08E-05,050522-180000,0.357878836
9/20/2023 14:02,5/5/2022 21:15,2.38E-05,1.48E-05,0.000615737,2.33E-05,2.44E-05,4.51E-05,flood2,0.342387385,5.04E-06,3.93E-06,5.89E-05,6.20E-06,3.52E-06,1.08E-05,050522-211500,0.342125769
9/20/2023 14:03,5/3/2022 17:45,2.25E-05,1.40E-05,0.000559564,2.20E-05,2.30E-05,4.18E-05,flood2,0.363283251,4.96E-06,3.87E-06,4.63E-05,6.10E-06,3.48E-06,1.06E-05,050322-174500,0.363614888
9/20/2023 14:03,5/5/2022 17:30,2.25E-05,1.40E-05,0.000559564,2.20E-05,2.30E-05,4.18E-05,flood2,0.363283251,5.04E-06,3.93E-06,7.33E-05,6.19E-06,3.55E-06,1.07E-05,050522-173000,0.364057915
9/20/2023 14:04,5/3/2022 16:30,2.18E-05,1.39E-05,0.000466663,2.19E-05,2.17E-05,4.27E-05,flood2,0.368327325,5.06E-06,3.90E-06,5.98E-05,6.15E-06,3.66E-06,1.07E-05,050322-163000,0.369004343
9/20/2023 14:05,5/3/2022 17:45,2.22E-05,1.36E-05,0.001121289,2.13E-05,2.30E-05,4.11E-05,flood2,0.363427836,4.96E-06,3.87E-06,4.63E-05,6.10E-06,3.48E-06,1.06E-05,050322-174500,0.363614888
9/20/2023 14:05,5/5/2022 17:30,2.22E-05,1.36E-05,0.001121289,2.13E-05,2.30E-05,4.11E-05,flood2,0.363427836,5.04E-06,3.93E-06,7.33E-05,6.19E-06,3.55E-06,1.07E-05,050522-173000,0.364057915
9/20/2023 14:06,5/3/2022 0:30,1.85E-05,1.20E-05,0.000412652,1.88E-05,1.81E-05,3.66E-05,flood2,0.466865455,5.02E-06,3.91E-06,9.26E-05,6.16E-06,3.54E-06,1.06E-05,050322-003000,0.466918343
9/20/2023 14:06,5/2/2022 6:45,1.85E-05,1.20E-05,0.000412652,1.88E-05,1.81E-05,3.66E-05,flood2,0.466865455,5.33E-06,4.17E-06,7.53E-05,6.57E-06,3.70E-06,1.14E-05,050222-064500,0.466682659
9/20/2023 14:06,5/3/2022 0:15,1.85E-05,1.20E-05,0.000412652,1.88E-05,1.81E-05,3.66E-05,flood2,0.466865455,5.13E-06,4.01E-06,7.72E-05,6.31E-06,3.58E-06,1.09E-05,050322-001500,0.46737428
9/20/2023 14:08,5/3/2022 7:45,1.90E-05,1.18E-05,0.000477466,1.85E-05,1.95E-05,3.63E-05,flood2,0.395731209,5.21E-06,4.08E-06,9.46E-05,6.43E-06,3.61E-06,1.10E-05,050322-074500,0.396084306
9/20/2023 14:09,5/2/2022 8:15,2.11E-05,1.21E-05,0.000827463,1.90E-05,2.31E-05,3.63E-05,flood2,0.43651643,5.23E-06,4.13E-06,6.56E-05,6.50E-06,3.53E-06,1.12E-05,050222-081500,0.436509736
9/20/2023 14:09,5/1/2022 11:00,2.11E-05,1.21E-05,0.000827463,1.90E-05,2.31E-05,3.63E-05,flood2,0.43651643,5.11E-06,3.99E-06,0.000106156,6.29E-06,3.57E-06,1.08E-05,050122-110000,0.43665774
9/20/2023 14:09,5/4/2022 20:15,2.11E-05,1.21E-05,0.000827463,1.90E-05,2.31E-05,3.63E-05,flood2,0.43651643,5.25E-06,4.08E-06,6.18E-05,6.44E-06,3.71E-06,1.12E-05,050422-201500,0.436188212
9/20/2023 14:10,5/3/2022 16:30,2.05E-05,1.21E-05,0.000514194,1.90E-05,2.18E-05,3.71E-05,flood2,0.368685201,5.06E-06,3.90E-06,5.98E-05,6.15E-06,3.66E-06,1.07E-05,050322-163000,0.369004343
9/20/2023 15:15,5/4/2022 10:15,2.63E-05,1.66E-05,0.000648144,2.62E-05,2.65E-05,5.00E-05,flood3,0.411935362,5.38E-06,4.17E-06,6.85E-05,6.57E-06,3.84E-06,1.14E-05,050422-101500,0.411771705
9/20/2023 15:15,5/1/2022 7:45,2.63E-05,1.66E-05,0.000648144,2.62E-05,2.65E-05,5.00E-05,flood3,0.411935362,5.16E-06,4.07E-06,7.33E-05,6.42E-06,3.49E-06,1.10E-05,050122-074500,0.411609445
9/20/2023 15:16,5/3/2022 19:15,2.53E-05,1.62E-05,0.00054228,2.55E-05,2.51E-05,4.94E-05,flood3,0.384466586,5.13E-06,3.97E-06,6.95E-05,6.25E-06,3.70E-06,1.08E-05,050322-191500,0.384912586
9/20/2023 15:17,5/4/2022 22:00,2.60E-05,1.63E-05,0.000825303,2.57E-05,2.63E-05,4.88E-05,flood3,0.429489824,5.33E-06,4.10E-06,9.17E-05,6.46E-06,3.88E-06,1.12E-05,050422-220000,0.429668173
9/20/2023 15:17,5/4/2022 8:45,2.60E-05,1.63E-05,0.000825303,2.57E-05,2.63E-05,4.88E-05,flood3,0.429489824,5.42E-06,4.19E-06,0.000112911,6.60E-06,3.88E-06,1.15E-05,050422-084500,0.429221031
9/20/2023 15:18,5/3/2022 10:00,2.59E-05,1.62E-05,0.000553083,2.54E-05,2.64E-05,4.80E-05,flood3,0.413190951,5.23E-06,4.08E-06,8.11E-05,6.43E-06,3.66E-06,1.11E-05,050322-100000,0.413108681
9/20/2023 15:18,5/2/2022 9:30,2.59E-05,1.62E-05,0.000553083,2.54E-05,2.64E-05,4.80E-05,flood3,0.413190951,5.21E-06,4.07E-06,5.89E-05,6.41E-06,3.63E-06,1.11E-05,050222-093000,0.413034035
9/20/2023 15:19,5/2/2022 21:15,2.49E-05,1.62E-05,0.000784254,2.54E-05,2.43E-05,4.87E-05,flood3,0.452968146,5.22E-06,4.07E-06,6.47E-05,6.40E-06,3.68E-06,1.10E-05,050222-211500,0.452999928
9/20/2023 15:19,5/1/2022 23:45,2.49E-05,1.62E-05,0.000784254,2.54E-05,2.43E-05,4.87E-05,flood3,0.452968146,5.14E-06,4.01E-06,7.14E-05,6.31E-06,3.59E-06,1.09E-05,050122-234500,0.453315794
9/20/2023 15:19,5/4/2022 15:45,2.49E-05,1.62E-05,0.000784254,2.54E-05,2.43E-05,4.87E-05,flood3,0.452968146,5.10E-06,3.97E-06,6.76E-05,6.25E-06,3.61E-06,1.08E-05,050422-154500,0.453487899
9/20/2023 15:20,5/2/2022 7:15,2.47E-05,1.61E-05,0.000546601,2.53E-05,2.41E-05,4.91E-05,flood3,0.457403107,5.19E-06,4.06E-06,8.01E-05,6.41E-06,3.59E-06,1.10E-05,050222-071500,0.457564618
9/20/2023 15:20,5/2/2022 21:00,2.47E-05,1.61E-05,0.000546601,2.53E-05,2.41E-05,4.91E-05,flood3,0.457403107,5.25E-06,4.10E-06,5.79E-05,6.45E-06,3.67E-06,1.11E-05,050222-210000,0.457100281
9/20/2023 15:20,5/2/2022 17:00,2.47E-05,1.61E-05,0.000546601,2.53E-05,2.41E-05,4.91E-05,flood3,0.457403107,5.01E-06,3.92E-06,7.24E-05,6.17E-06,3.48E-06,1.07E-05,050222-170000,0.457856814
9/20/2023 15:21,5/1/2022 5:00,2.50E-05,1.65E-05,0.000445059,2.59E-05,2.42E-05,5.02E-05,flood3,0.490846609,5.13E-06,4.04E-06,5.11E-05,6.37E-06,3.48E-06,1.09E-05,050122-050000,0.490778436
9/20/2023 15:21,4/28/2022 21:45,2.50E-05,1.65E-05,0.000445059,2.59E-05,2.42E-05,5.02E-05,flood3,0.490846609,4.84E-06,3.79E-06,6.18E-05,5.96E-06,3.34E-06,1.03E-05,042822-214500,0.490638669
9/20/2023 15:21,4/29/2022 7:15,2.50E-05,1.65E-05,0.000445059,2.59E-05,2.42E-05,5.02E-05,flood3,0.490846609,5.50E-06,4.33E-06,6.18E-05,6.82E-06,3.74E-06,1.17E-05,042922-071500,0.4910745
9/20/2023 15:22,5/3/2022 11:15,2.96E-05,1.91E-05,0.001017586,3.00E-05,2.91E-05,5.89E-05,flood3,0.462678059,5.14E-06,4.01E-06,6.76E-05,6.32E-06,3.60E-06,1.08E-05,050322-111500,0.462436814
9/20/2023 15:22,4/29/2022 17:15,2.96E-05,1.91E-05,0.001017586,3.00E-05,2.91E-05,5.89E-05,flood3,0.462678059,5.07E-06,3.98E-06,6.47E-05,6.27E-06,3.46E-06,1.08E-05,042922-171500,0.463150934
9/20/2023 15:22,5/4/2022 11:30,2.96E-05,1.91E-05,0.001017586,3.00E-05,2.91E-05,5.89E-05,flood3,0.462678059,5.51E-06,4.27E-06,0.000115806,6.72E-06,3.95E-06,1.16E-05,050422-113000,0.462185691
9/20/2023 15:23,4/30/2022 17:00,2.97E-05,1.95E-05,0.000579008,3.07E-05,2.88E-05,5.91E-05,flood3,0.510660829,5.16E-06,4.05E-06,4.92E-05,6.38E-06,3.54E-06,1.11E-05,043022-170000,0.510707436
9/20/2023 15:23,5/4/2022 6:00,2.97E-05,1.95E-05,0.000579008,3.07E-05,2.88E-05,5.91E-05,flood3,0.510660829,5.40E-06,4.20E-06,8.11E-05,6.62E-06,3.79E-06,1.15E-05,050422-060000,0.51048112
9/20/2023 15:23,5/4/2022 2:00,2.97E-05,1.95E-05,0.000579008,3.07E-05,2.88E-05,5.91E-05,flood3,0.510660829,5.31E-06,4.11E-06,6.85E-05,6.48E-06,3.78E-06,1.12E-05,050422-020000,0.510968474
9/20/2023 15:23,4/30/2022 0:30,2.97E-05,1.95E-05,0.000579008,3.07E-05,2.88E-05,5.91E-05,flood3,0.510660829,5.11E-06,4.01E-06,5.11E-05,6.32E-06,3.50E-06,1.09E-05,043022-003000,0.510993381
9/20/2023 15:24,5/4/2022 12:15,3.27E-05,2.06E-05,0.00094845,3.23E-05,3.32E-05,6.35E-05,flood3,0.499488808,5.57E-06,4.30E-06,8.49E-05,6.78E-06,4.00E-06,1.18E-05,050422-121500,0.499382452
9/20/2023 15:24,4/30/2022 10:45,3.27E-05,2.06E-05,0.00094845,3.23E-05,3.32E-05,6.35E-05,flood3,0.499488808,4.99E-06,3.93E-06,5.31E-05,6.19E-06,3.39E-06,1.07E-05,043022-104500,0.499325838
9/20/2023 15:24,5/4/2022 12:45,3.27E-05,2.06E-05,0.00094845,3.23E-05,3.32E-05,6.35E-05,flood3,0.499488808,5.48E-06,4.21E-06,8.59E-05,6.63E-06,4.02E-06,1.16E-05,050422-124500,0.499156802
9/20/2023 15:24,5/3/2022 12:30,3.27E-05,2.06E-05,0.00094845,3.23E-05,3.32E-05,6.35E-05,flood3,0.499488808,5.30E-06,4.08E-06,0.000105191,6.43E-06,3.86E-06,1.11E-05,050322-123000,0.499147971
9/21/2023 10:41,5/4/2022 5:30,3.20E-05,1.94E-05,0.000635181,3.06E-05,3.34E-05,6.01E-05,flood4,0.524932171,5.38E-06,4.21E-06,6.66E-05,6.63E-06,3.75E-06,1.15E-05,050422-053000,0.524863387
9/21/2023 10:41,5/4/2022 4:45,3.20E-05,1.94E-05,0.000635181,3.06E-05,3.34E-05,6.01E-05,flood4,0.524932171,5.36E-06,4.18E-06,6.56E-05,6.58E-06,3.75E-06,1.14E-05,050422-044500,0.525204192
9/21/2023 10:41,4/28/2022 17:30,3.20E-05,1.94E-05,0.000635181,3.06E-05,3.34E-05,6.01E-05,flood4,0.524932171,4.57E-06,3.56E-06,0.000142827,5.61E-06,3.20E-06,9.68E-06,042822-173000,0.525337043
9/21/2023 10:43,4/29/2022 13:30,3.79E-05,2.37E-05,0.000790735,3.72E-05,3.86E-05,7.35E-05,flood4,0.553130737,4.90E-06,3.86E-06,6.18E-05,6.08E-06,3.34E-06,1.05E-05,042922-133000,0.552571874
9/21/2023 10:43,5/1/2022 15:00,3.79E-05,2.37E-05,0.000790735,3.72E-05,3.86E-05,7.35E-05,flood4,0.553130737,5.16E-06,4.00E-06,7.24E-05,6.31E-06,3.68E-06,1.09E-05,050122-150000,0.552451823
9/21/2023 10:43,5/2/2022 15:15,3.79E-05,2.37E-05,0.000790735,3.72E-05,3.86E-05,7.35E-05,flood4,0.553130737,5.03E-06,3.90E-06,7.82E-05,6.15E-06,3.59E-06,1.06E-05,050222-151500,0.552372199
9/21/2023 10:44,4/30/2022 2:30,3.97E-05,2.43E-05,0.001434558,3.82E-05,4.11E-05,7.60E-05,flood4,0.549021982,5.11E-06,4.02E-06,5.02E-05,6.33E-06,3.49E-06,1.09E-05,043022-023000,0.549385551
9/21/2023 10:45,4/30/2022 16:45,3.43E-05,2.13E-05,0.000712958,3.35E-05,3.51E-05,6.68E-05,flood4,0.515188081,5.17E-06,4.05E-06,4.83E-05,6.38E-06,3.57E-06,1.10E-05,043022-164500,0.515082886
9/21/2023 10:45,5/2/2022 15:45,3.43E-05,2.13E-05,0.000712958,3.35E-05,3.51E-05,6.68E-05,flood4,0.515188081,5.20E-06,4.00E-06,9.07E-05,6.31E-06,3.78E-06,1.09E-05,050222-154500,0.515419524
9/21/2023 10:45,5/1/2022 0:00,3.43E-05,2.13E-05,0.000712958,3.35E-05,3.51E-05,6.68E-05,flood4,0.515188081,5.16E-06,4.05E-06,7.62E-05,6.38E-06,3.56E-06,1.09E-05,050122-000000,0.515444726
9/21/2023 10:45,5/4/2022 4:00,3.43E-05,2.13E-05,0.000712958,3.35E-05,3.51E-05,6.68E-05,flood4,0.515188081,5.30E-06,4.14E-06,5.69E-05,6.52E-06,3.69E-06,1.13E-05,050422-040000,0.515588757
9/21/2023 10:46,5/1/2022 0:15,3.27E-05,2.06E-05,0.000658946,3.23E-05,3.30E-05,6.40E-05,flood44,0.508588161,5.21E-06,4.10E-06,4.73E-05,6.46E-06,3.54E-06,1.11E-05,050122-001500,0.508562781
9/21/2023 10:46,4/29/2022 23:00,3.27E-05,2.06E-05,0.000658946,3.23E-05,3.30E-05,6.40E-05,flood44,0.508588161,5.16E-06,4.04E-06,8.88E-05,6.36E-06,3.59E-06,1.09E-05,042922-230000,0.508438401
9/21/2023 10:46,5/3/2022 13:00,3.27E-05,2.06E-05,0.000658946,3.23E-05,3.30E-05,6.40E-05,flood44,0.508588161,5.14E-06,3.99E-06,0.000100365,6.28E-06,3.66E-06,1.08E-05,050322-130000,0.508879821
9/21/2023 10:46,4/29/2022 22:45,3.27E-05,2.06E-05,0.000658946,3.23E-05,3.30E-05,6.40E-05,flood44,0.508588161,5.11E-06,4.02E-06,4.83E-05,6.33E-06,3.48E-06,1.09E-05,042922-224500,0.50812411
9/21/2023 10:46,4/30/2022 21:00,3.27E-05,2.06E-05,0.000658946,3.23E-05,3.30E-05,6.40E-05,flood44,0.508588161,5.11E-06,4.01E-06,5.69E-05,6.32E-06,3.49E-06,1.09E-05,043022-210000,0.507996452
9/21/2023 10:47,5/4/2022 15:15,2.91E-05,1.75E-05,0.000522836,2.75E-05,3.07E-05,5.51E-05,flood44,0.466389344,5.13E-06,3.98E-06,8.59E-05,6.28E-06,3.64E-06,1.08E-05,050422-151500,0.466342197
9/21/2023 10:47,5/2/2022 6:45,2.91E-05,1.75E-05,0.000522836,2.75E-05,3.07E-05,5.51E-05,flood44,0.466389344,5.33E-06,4.17E-06,7.53E-05,6.57E-06,3.70E-06,1.14E-05,050222-064500,0.466682659
9/21/2023 10:47,5/3/2022 1:15,2.91E-05,1.75E-05,0.000522836,2.75E-05,3.07E-05,5.51E-05,flood44,0.466389344,5.19E-06,4.07E-06,7.53E-05,6.41E-06,3.58E-06,1.10E-05,050322-011500,0.466067024
9/21/2023 10:48,5/1/2022 6:00,3.42E-05,1.96E-05,0.000985178,3.08E-05,3.72E-05,6.06E-05,flood44,0.46357925,5.11E-06,4.03E-06,4.73E-05,6.36E-06,3.45E-06,1.09E-05,050122-060000,0.463531586
9/21/2023 10:48,5/2/2022 7:00,3.42E-05,1.96E-05,0.000985178,3.08E-05,3.72E-05,6.06E-05,flood44,0.46357925,5.20E-06,4.07E-06,6.47E-05,6.41E-06,3.60E-06,1.11E-05,050222-070000,0.463311499
9/21/2023 10:49,5/5/2022 13:00,3.07E-05,1.86E-05,0.000771291,2.92E-05,3.21E-05,5.68E-05,flood44,0.47994966,5.13E-06,3.95E-06,8.69E-05,6.23E-06,3.72E-06,1.08E-05,050522-130000,0.480031556
9/21/2023 10:49,5/3/2022 3:45,3.07E-05,1.86E-05,0.000771291,2.92E-05,3.21E-05,5.68E-05,flood44,0.47994966,5.19E-06,4.08E-06,6.37E-05,6.43E-06,3.55E-06,1.10E-05,050322-034500,0.479859616
9/21/2023 10:49,4/29/2022 21:30,3.07E-05,1.86E-05,0.000771291,2.92E-05,3.21E-05,5.68E-05,flood44,0.47994966,5.08E-06,3.98E-06,7.82E-05,6.28E-06,3.48E-06,1.08E-05,042922-213000,0.480040799
9/21/2023 10:49,5/5/2022 3:00,3.07E-05,1.86E-05,0.000771291,2.92E-05,3.21E-05,5.68E-05,flood44,0.47994966,5.26E-06,4.09E-06,8.97E-05,6.45E-06,3.72E-06,1.12E-05,050522-030000,0.480041309
9/21/2023 10:50,4/28/2022 23:00,2.64E-05,1.62E-05,0.000691353,2.55E-05,2.73E-05,4.97E-05,flood44,0.479391853,4.96E-06,3.90E-06,4.73E-05,6.15E-06,3.38E-06,1.06E-05,042822-230000,0.479327504
9/21/2023 10:50,5/2/2022 5:00,2.64E-05,1.62E-05,0.000691353,2.55E-05,2.73E-05,4.97E-05,flood44,0.479391853,5.25E-06,4.11E-06,4.83E-05,6.47E-06,3.63E-06,1.12E-05,050222-050000,0.479506382
9/21/2023 10:50,4/28/2022 20:00,2.64E-05,1.62E-05,0.000691353,2.55E-05,2.73E-05,4.97E-05,flood44,0.479391853,4.79E-06,3.76E-06,5.69E-05,5.93E-06,3.27E-06,1.02E-05,042822-200000,0.479226899
