,07/29/23 00:00:00,07/29/23 00:15:00,07/29/23 00:30:00,07/29/23 00:45:00,07/29/23 01:00:00,07/29/23 01:15:00,07/29/23 01:30:00,07/29/23 01:45:00,07/29/23 02:00:00,07/29/23 02:15:00,07/29/23 02:30:00,07/29/23 02:45:00,07/29/23 03:00:00,07/29/23 03:15:00,07/29/23 03:30:00,07/29/23 03:45:00,07/29/23 04:00:00,07/29/23 04:15:00,07/29/23 04:30:00,07/29/23 04:45:00,07/29/23 05:00:00,07/29/23 05:15:00,07/29/23 05:30:00,07/29/23 05:45:00,07/29/23 06:00:00,07/29/23 06:15:00,07/29/23 06:30:00,07/29/23 06:45:00,07/29/23 07:00:00,07/29/23 07:15:00,07/29/23 07:30:00,07/29/23 07:45:00,07/29/23 08:00:00,07/29/23 08:15:00,07/29/23 08:30:00,07/29/23 08:45:00,07/29/23 09:00:00,07/29/23 09:15:00,07/29/23 09:30:00,07/29/23 09:45:00,07/29/23 10:00:00,07/29/23 10:15:00,07/29/23 10:30:00,07/29/23 10:45:00,07/29/23 11:00:00,07/29/23 11:15:00,07/29/23 11:30:00,07/29/23 11:45:00,07/29/23 12:00:00,07/29/23 12:15:00,07/29/23 12:30:00,07/29/23 12:45:00,07/29/23 13:00:00,07/29/23 13:15:00,07/29/23 13:30:00,07/29/23 13:45:00,07/29/23 14:00:00,07/29/23 14:15:00,07/29/23 14:30:00,07/29/23 14:45:00,07/29/23 15:00:00,07/29/23 15:15:00,07/29/23 15:30:00,07/29/23 15:45:00,07/29/23 16:00:00,07/29/23 16:15:00,07/29/23 16:30:00,07/29/23 16:32:00,07/29/23 16:45:00,07/29/23 17:00:00,07/29/23 17:15:00,07/29/23 17:30:00,07/29/23 17:45:00,07/29/23 18:00:00,07/29/23 18:15:00,07/29/23 18:30:00,07/29/23 18:45:00,07/29/23 19:00:00,07/29/23 19:15:00,07/29/23 19:30:00,07/29/23 19:45:00,07/29/23 20:00:00,07/29/23 20:15:00,07/29/23 20:30:00,07/29/23 20:45:00,07/29/23 21:00:00,07/29/23 21:15:00,07/29/23 21:30:00,07/29/23 21:45:00,07/29/23 22:00:00,07/29/23 22:15:00,07/29/23 22:30:00,07/29/23 22:45:00,07/29/23 23:00:00,07/29/23 23:15:00,07/29/23 23:30:00,07/29/23 23:45:00,07/30/23 00:00:00
max_amp,2.0921219592674202e-05,3.119964364628097e-05,5.026087027101461e-05,1.6208630649053373e-05,6.273037641745187e-05,5.626716769558105e-05,6.0776606985942474e-05,2.5149242441097755e-05,5.072227952109206e-05,2.2719809695043876e-05,3.0462620503608917e-05,3.4017975804844286e-05,2.643385820341721e-05,3.9046552245590876e-05,3.378411805645292e-05,1.216854421714698e-05,3.633181720393403e-05,8.309913397983245e-05,3.2935691179784355e-05,2.1946178501618027e-05,3.114727876141797e-05,3.559939830716601e-05,2.2641758929729966e-05,3.443549300262809e-05,5.601847516221044e-05,2.858272801871021e-05,4.290843374230495e-05,1.5729504209105465e-05,2.4924712013642297e-05,5.657581939994687e-05,6.60185918485429e-05,5.670627780354596e-05,6.261957289838896e-05,6.467461671025643e-05,4.567793075358568e-05,5.154904852613403e-05,3.400434202313516e-05,4.617167272124568e-05,3.582910670697524e-05,4.606437513524042e-05,2.842397302450371e-05,4.159148533134487e-05,2.7762280500180134e-05,1.519666076782524e-05,6.954657441809063e-06,2.089738898147029e-05,1.0830426979495426e-05,2.2486908188578308e-05,3.348246209860191e-05,1.9276041078235434e-05,2.3509964488308072e-05,2.9467547096324516e-05,1.1494625480269841e-05,2.5659719954772817e-05,3.365067090367058e-05,9.228902534056157e-05,0.00012513991651196275,8.21218165166511e-05,0.00015782075391699795,0.0008215307023791206,0.011886160660671394,0.010978819432582963,0.01626670373029468,0.03866708191481822,0.009175428694949046,0.0018351810065169493,0.006469080958666813,0.0033604347917875854,0.0010577839523153744,0.002151150658593756,0.0004220684713278557,0.0005004926492417813,0.0003533214934888819,0.0003802703314449771,0.00020862004466894985,0.0002852503107234354,0.00019470679530983774,0.00015027316143699938,0.00023203945411376438,0.00010203973505489331,0.00013545109329062468,0.00014871119581925243,0.0002704012630442035,0.0002283918242824016,0.00021168595705013945,0.00024695219540467296,0.00011169600536121632,0.00010791591827509657,9.177633100826592e-05,0.00017744596916943034,7.65446890192084e-05,0.00011380945120014045,7.039583065624287e-05,9.074589531788217e-05,6.408563097123371e-05,8.126965320796985e-05,9.838299675811831e-05,6.901004935408357e-05
mean_amp,1.6896795203131945e-05,2.4629425665900515e-05,3.301755468250647e-05,1.2768859291220404e-05,4.440858362690661e-05,3.394209595660159e-05,4.137487586352038e-05,1.7715750295374186e-05,3.9812480762091166e-05,1.7321557920951083e-05,2.293531802332014e-05,2.4246437682341573e-05,2.249050719825509e-05,3.159118276958339e-05,2.3154171766705716e-05,9.583492508221863e-06,2.348659869281965e-05,5.210818221117111e-05,2.3184904670164055e-05,1.707737854220019e-05,2.425596218648499e-05,2.4769391695874303e-05,1.7682664500225062e-05,2.2218657031089128e-05,3.1139367918411416e-05,1.8027864770854496e-05,2.961568398638716e-05,1.1612035243616744e-05,1.7851094916333777e-05,3.6385007004068256e-05,4.489866364242415e-05,3.626471469773803e-05,4.8278504879058185e-05,4.767713071560536e-05,3.672941519676103e-05,3.47131775867741e-05,2.5127311250110204e-05,2.5838804102086815e-05,2.670925299854053e-05,3.588115741685374e-05,2.0730713311733085e-05,2.290923644592756e-05,1.951745919484036e-05,1.163883081804813e-05,5.493091925562255e-06,1.5517417199084094e-05,8.577890096876748e-06,1.4137400154043104e-05,2.00377229502879e-05,1.5239062929370532e-05,1.8521795737854435e-05,2.327487669813491e-05,7.600417216873998e-06,1.5848267609755012e-05,2.5054157218380222e-05,6.729920686178257e-05,8.337300716949583e-05,6.32021487445514e-05,0.00010588857631052624,0.0006079285026537245,0.0093238254759769,0.008406397904167374,0.011800848431253591,0.02790430720218258,0.006390511592435095,0.0015092111814753106,0.00512580547097129,0.002528329099035049,0.000817610437097552,0.0014183047268770295,0.0002966574482337065,0.0003483197791392521,0.00027286365072262144,0.0002666517157035847,0.0001511270051023412,0.0001853886625529175,0.0001361155861911994,0.00010131771173207572,0.0001616575799410332,7.829595802698281e-05,9.192409722316302e-05,0.00010533205190305114,0.00015955435504197063,0.00011482095949964604,0.00013992725612337964,0.00016755891031238493,8.028847595471416e-05,5.829742012356684e-05,6.929508983177756e-05,0.00011987711189628787,5.509749811046924e-05,7.368030008431551e-05,5.3698670875354245e-05,6.619383592671867e-05,4.945353970773368e-05,6.49578898423506e-05,6.899240186900046e-05,5.352925188597175e-05
median_amp,1.699640557780499e-05,2.4451812517591132e-05,3.2236912718151696e-05,1.2868072302588514e-05,4.3409188893146395e-05,3.3134042857375524e-05,4.045416427977823e-05,1.748273767274016e-05,3.934020817704136e-05,1.6720507769295952e-05,2.24875593513391e-05,2.3700035790705225e-05,2.2467711263210045e-05,3.149308719955026e-05,2.2619265132412025e-05,9.463893716539063e-06,2.31149537730226e-05,5.0251599973097493e-05,2.2562965187940346e-05,1.6433157928108528e-05,2.37094619522795e-05,2.3927948298660107e-05,1.7776897593717093e-05,2.1919447671699025e-05,2.9862668813283692e-05,1.7299680685071803e-05,2.9393692438022544e-05,1.1493458239562269e-05,1.7894160885930106e-05,3.5858278030521316e-05,4.3355936691072695e-05,3.5878839153931046e-05,4.813785627411042e-05,4.69904093761548e-05,3.634807033230858e-05,3.45985979849768e-05,2.4214205920743953e-05,2.526059347054724e-05,2.5955370580113608e-05,3.566382709639354e-05,2.0505452684186144e-05,2.2693546998738365e-05,1.937495955779346e-05,1.1632388211283764e-05,5.513418488488161e-06,1.53275908296365e-05,8.794611237733751e-06,1.3805487859741846e-05,1.965599788735037e-05,1.5249087312894605e-05,1.8598986540759533e-05,2.3095356417327636e-05,7.488728830674745e-06,1.5640577734313937e-05,2.454223176645339e-05,6.605332024793462e-05,8.091279958448504e-05,6.24730899490938e-05,0.00010390345805872735,0.0006055796976111524,0.009283954651210138,0.008353571679329916,0.011925837651053909,0.027819201820590972,0.006206362147527924,0.0014799259184188384,0.005044871401865859,0.0025043035325682753,0.0007984023186552645,0.0014175410903735706,0.0002902102259844736,0.0003418912761065352,0.000267965534809865,0.00026424247885799355,0.00015098010575151686,0.0001793880571923413,0.00013220589346684574,9.997335966099943e-05,0.0001600419853733182,7.875352126278079e-05,8.765034825052473e-05,0.00010436233176318776,0.00016362558882761363,0.00011023947522690583,0.00013483632508601423,0.0001605724904914182,8.013524391268262e-05,5.6850414984092025e-05,6.762451388699653e-05,0.00011741244382230857,5.356331786364872e-05,7.32224372731128e-05,5.271758445648514e-05,6.585910845952362e-05,4.8807119127861556e-05,6.538691879670617e-05,6.777539625664157e-05,5.355206658984921e-05
impulses_ch6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impulses_ch5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impulses_ch4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,10,241,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impulses_ch3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,643,386,1374,10366,138,0,66,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impulses_ch2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17559,14595,19296,13086,8497,154,4927,773,12,166,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impulses_ch1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,851,11121,11289,9309,3801,13752,7530,14327,12333,1810,6054,112,159,90,71,16,26,8,1,26,1,3,3,26,7,9,34,0,0,0,3,0,0,0,1,0,0,0,0
max_env_ch6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
