,03/18/23 13:40:00,03/18/23 14:00:00,03/18/23 14:15:00,03/18/23 14:30:00,03/18/23 14:45:00,03/18/23 15:00:00,03/18/23 15:15:00,03/18/23 15:30:00,03/18/23 15:45:00,03/18/23 16:00:00,03/18/23 16:15:00,03/18/23 16:30:00,03/18/23 16:45:00,03/18/23 17:00:00,03/18/23 17:15:00,03/18/23 17:30:00,03/18/23 17:45:00,03/18/23 18:00:00,03/18/23 18:15:00,03/18/23 18:30:00,03/18/23 18:45:00,03/18/23 19:00:00,03/18/23 19:15:00,03/18/23 19:30:00,03/18/23 19:45:00,03/18/23 20:00:00,03/18/23 20:15:00,03/18/23 20:30:00,03/18/23 20:45:00,03/18/23 21:00:00,03/18/23 21:15:00,03/18/23 21:30:00,03/18/23 21:45:00,03/18/23 22:00:00,03/18/23 22:15:00,03/18/23 22:30:00,03/18/23 22:45:00,03/18/23 23:00:00,03/18/23 23:15:00,03/18/23 23:30:00,03/18/23 23:45:00,03/19/23 00:00:00,03/19/23 00:15:00,03/19/23 00:30:00,03/19/23 00:45:00,03/19/23 01:00:00,03/19/23 01:15:00,03/19/23 01:30:00,03/19/23 01:45:00,03/19/23 02:00:00,03/19/23 02:15:00,03/19/23 02:30:00,03/19/23 02:45:00,03/19/23 03:00:00,03/19/23 03:15:00,03/19/23 03:30:00,03/19/23 03:45:00,03/19/23 04:00:00,03/19/23 04:15:00,03/19/23 04:30:00,03/19/23 04:45:00,03/19/23 05:00:00,03/19/23 05:15:00,03/19/23 05:30:00,03/19/23 05:45:00,03/19/23 06:00:00,03/19/23 06:15:00,03/19/23 06:30:00,03/19/23 06:45:00,03/19/23 07:00:00,03/19/23 07:15:00,03/19/23 07:30:00,03/19/23 07:45:00,03/19/23 08:00:00,03/19/23 08:15:00,03/19/23 08:30:00,03/19/23 08:45:00,03/19/23 09:00:00,03/19/23 09:15:00,03/19/23 09:30:00,03/19/23 09:45:00,03/19/23 10:00:00,03/19/23 10:15:00,03/19/23 10:30:00,03/19/23 10:45:00,03/19/23 11:00:00,03/19/23 11:15:00,03/19/23 11:30:00,03/19/23 11:45:00,03/19/23 12:00:00,03/19/23 12:15:00,03/19/23 12:30:00,03/19/23 12:45:00,03/19/23 13:00:00,03/19/23 13:15:00,03/19/23 13:30:00,04/14/23 16:29:00,04/14/23 16:30:00,04/14/23 16:31:00,04/14/23 16:32:00,04/14/23 16:40:00
max_amp,0.003165318625541274,0.003507450542960063,0.003555783351022569,0.003702431578757228,0.0034016392243295416,0.0040969935204871934,0.0037452498334526033,0.0038569013568074827,0.003717948797697611,0.00407914695596865,0.0037781352129659745,0.0042765703056021915,0.0037839336420665668,0.0036550779200592294,0.0041185830631022165,0.0038460366915571767,0.006983442478986866,0.007558994369346537,0.007783102381958706,0.0055309270310564896,0.003925924024314645,0.0035376849190060715,0.0034812245119695473,0.0035391082291512444,0.0035198705750030495,0.003335593229301187,0.003905938864718046,0.0032145163670569315,0.003276812643452361,0.0034252862679166342,0.0034747340427470595,0.0034319266701734806,0.003257362040751987,0.0034471545397617514,0.0033407425031319665,0.003412697643949664,0.004514373254259396,0.003302458980849679,0.003761109184333393,0.003654516360894905,0.003646210655259355,0.0034517382115654845,0.003381921023739662,0.004033431330659242,0.0033441280761911892,0.0036282432046641036,0.004143431594746998,0.0037968702027583573,0.003893557092003891,0.003300888314239268,0.003560559003850706,0.003856723169099047,0.0036853510926055126,0.0032261590505979795,0.0033495138727860597,0.003290418318993819,0.003356503854437307,0.004010990759772709,0.0035875203643383224,0.003143642831801216,0.003516794770702678,0.0033407830903298096,0.003912904533713391,0.0036122484664937054,0.0030994923524177206,0.003359977679830383,0.0037433984571061405,0.0032663742643635582,0.003159741600530546,0.002956153111102212,0.003196611973838672,0.0031110803561831667,0.0031210035716564277,0.0032505959948527998,0.0031682482267660836,0.0034474404482541,0.0031735153550914415,0.0032505684420522435,0.003119337934085051,0.0034734325696922663,0.0031274427962045435,0.0032087851529623377,0.003177636699391494,0.003187738052008309,0.0031240122427217227,0.0029319842309694696,0.003063392270042642,0.0034563620546241704,0.003067009257975626,0.003135219279638398,0.0030960610106418097,0.0033801022190652757,0.002780182314294086,0.002960977840099004,0.021384346645964274,0.003051704451436457,0.02966327288655758,0.02912086997850704,0.029713107560287555,0.02994558698996343,0.05252100338853371
mean_amp,0.002492894624659604,0.002803784291635851,0.002891840946287088,0.0029548289088806886,0.002847460806246648,0.0028918626408392305,0.002884747811528042,0.002862685965666745,0.002956111198485703,0.0029729253763338317,0.0030072302569454177,0.0030303367345070283,0.002943995070093695,0.0028593058080812676,0.0028687726620320857,0.002937387602141409,0.0037802984824882838,0.0033348721724192486,0.004430510368226192,0.002807743935628565,0.002749070177209246,0.002707890046732922,0.0027697800566757885,0.002747769769648242,0.002788842462201414,0.002685028550459222,0.002634077327099639,0.0025796441943790878,0.0026494305462209907,0.002683864170383983,0.002825060923135947,0.0027745499889223137,0.002688811284739007,0.002608226791597353,0.002691749215484546,0.002776037049109759,0.0028443661812291173,0.0028336563092032563,0.0028920906770649696,0.00281494626211501,0.0027023767923012782,0.002764552290825011,0.0026694477841116893,0.002643036113405675,0.002629249248145573,0.0027397070782603354,0.002639549123852718,0.0027630607436033364,0.002675559487417837,0.0027326893882337836,0.0027292056057025417,0.0027532586992245044,0.0026747807164473987,0.0026204297191813664,0.0027779601764088917,0.0026903114146155484,0.002688078770206907,0.002734268412492348,0.00273258279742693,0.0026790614058462676,0.00263400514510016,0.0026678636199000106,0.0027148326950201408,0.0026817164895503688,0.0025894094621672164,0.002691373759943101,0.0026084501968931567,0.0026671113227281313,0.002632665619627526,0.0025710280717360506,0.0026754562919689695,0.0026208046655283915,0.002566260937349626,0.0025364361102520124,0.002587287932603946,0.0025586330716216646,0.0025170152836071157,0.0024866491233311297,0.002466720028474705,0.0024337082925111595,0.002446009394474739,0.002475140956576056,0.002341831461497329,0.0022486892457645783,0.0023810646296061454,0.002324201176415056,0.002392240697122455,0.002444160407254349,0.0024287470768563474,0.0024707973314379737,0.0024393729367430833,0.0023893434533425345,0.0022889166475386037,0.0023611973535898573,0.002691621466881458,0.002288804499196077,0.023325937033076543,0.02343193187035571,0.023908529894088773,0.023077620285217117,0.02351051544150273
median_amp,0.0024569494113813655,0.0027942326581023337,0.002899879981053873,0.002913684836616486,0.0028224460618652782,0.0028569305102271727,0.002833686813815803,0.002807744180468731,0.002904956978104695,0.0029381000672773737,0.0029607531591610975,0.0029621446198535117,0.002892945934186767,0.0028003623356982624,0.002821091485797035,0.0029355701482399366,0.003656424943665075,0.002707063476274123,0.004426315138433811,0.00271454817153747,0.0026870583701840735,0.002697232027021503,0.0027586896152634885,0.0026968664798407756,0.002741688660700172,0.002653515879579538,0.0025551433543222176,0.002537923133144703,0.0026437567885429494,0.0027009791023373756,0.0027899524672392096,0.0027016081349416536,0.002688485927690631,0.002585123291856277,0.0026572738108935927,0.0027068231198956547,0.0027224772222208234,0.002827958340210596,0.002835599221736431,0.0027673605564121177,0.0026881012316616938,0.0027490417861613806,0.0026295286460992313,0.0025639860445372314,0.0026357149763182163,0.0026617790141960714,0.002571315730112383,0.0026596152117606972,0.0026378725424924423,0.00268960077309154,0.0027039642058845556,0.0026760626453147607,0.0026566535450934714,0.002579947132224825,0.0027577606270377487,0.0026745048884546947,0.002646213196255734,0.002702532199986646,0.0027207718001805575,0.002651712804317725,0.002619063412681204,0.002633064512043653,0.0026682336010194346,0.0026415816983580767,0.002582452785052286,0.0026639793108475915,0.0025629494235228784,0.0026267874823936144,0.0026334023482503105,0.0025548140942384815,0.0026408543220776673,0.0026025407690184457,0.002531366885810251,0.002498195315491081,0.002569625614029677,0.0025122392213192297,0.002502508098844396,0.002437115100489589,0.002467315581441103,0.0023702415343181986,0.002393663966364032,0.0024370171939462537,0.002301343229489096,0.0022287569944272265,0.0023448089934403225,0.002300766749745676,0.0023708395002431833,0.0023916771070932215,0.0024013413590232794,0.002435169235872804,0.0024314314870620664,0.0023329881613047276,0.002255111867714399,0.0023300615893481176,0.0023062730951878773,0.002236373787711485,0.023566276357238215,0.022947705294549987,0.023753222657875946,0.022826859752923513,0.022481457366519457
impulses_ch6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impulses_ch5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,5,2,27
impulses_ch4,0,0,0,0,0,2,1,0,1,1,2,1,2,0,0,1,4,2,9,6,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1,437,427,467,366,535
impulses_ch3,28,42,22,35,27,35,28,22,45,36,46,48,44,42,39,50,203,195,274,40,27,30,37,36,47,42,30,14,18,36,33,29,32,11,30,45,31,27,33,43,33,43,24,36,21,35,28,34,28,40,38,28,26,25,39,31,38,24,25,19,21,31,24,22,16,25,24,18,10,19,18,12,14,22,30,26,11,12,8,15,17,17,11,13,19,11,8,14,17,22,12,16,11,19,148,16,21009,21578,22075,21173,20468
impulses_ch2,1804,2565,3081,3146,2864,2923,2799,2879,3084,3106,3245,3314,3048,2909,2847,2909,5672,5269,7442,2387,2485,2363,2364,2568,2379,2217,2019,1997,2204,2099,2309,2054,2115,1935,2096,2355,2345,2169,2652,2493,2257,2241,2203,1930,1963,2186,1922,2316,2127,2157,2180,2347,2025,1880,2428,2058,2204,2123,2065,2191,1979,2069,2096,2082,1820,2147,1813,1957,1904,1771,2139,1886,1835,1701,1825,1843,1554,1587,1533,1519,1459,1583,1327,1130,1390,1423,1494,1470,1497,1700,1628,1465,1331,1452,1813,1293,33490,33494,32959,33609,33980
impulses_ch1,38280,39304,39939,39179,39768,39584,39734,40331,39906,39495,39677,39953,39577,40076,39092,40476,38825,39917,36731,41300,41226,40997,41698,41407,41802,41251,41173,41583,41112,41214,45146,40549,42018,40643,40862,41926,42341,41610,42408,44981,41644,41190,41272,41592,41766,41777,41757,41449,41596,41588,41756,41709,42116,41505,41096,42113,41832,41600,41576,41573,42047,41466,41897,41670,42088,41871,42516,42058,42172,42093,42548,42018,42323,42198,42116,41837,42148,41960,41290,41098,40883,40813,40468,38586,39399,40283,40400,41266,41095,40039,39921,39894,39613,39505,39763,39670,9462,9199,9197,9322,9700
max_env_ch6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
