,08/03/22 00:01:00,08/03/22 00:16:00,08/03/22 00:31:00,08/03/22 00:46:00,08/03/22 01:01:00,08/03/22 01:16:00,08/03/22 01:31:00,08/03/22 01:46:00,08/03/22 02:01:00,08/03/22 02:16:00,08/03/22 02:31:00,08/03/22 02:46:00,08/03/22 03:01:00,08/03/22 03:16:00,08/03/22 03:31:00,08/03/22 03:46:00,08/03/22 04:01:00,08/03/22 04:16:00,08/03/22 04:31:00,08/03/22 04:46:00,08/03/22 05:01:00,08/03/22 05:16:00,08/03/22 05:31:00,08/03/22 05:46:00,08/03/22 06:01:00,08/03/22 06:16:00,08/03/22 06:31:00,08/03/22 06:46:00,08/03/22 07:01:00,08/03/22 07:16:00,08/03/22 07:31:00,08/03/22 07:46:00,08/03/22 08:01:00,08/03/22 08:16:00,08/03/22 08:31:00,08/03/22 08:46:00,08/03/22 09:01:00,08/03/22 09:16:00,08/03/22 09:31:00,08/03/22 09:46:00,08/03/22 10:01:00,08/03/22 10:16:00,08/03/22 10:31:00,08/03/22 10:46:00,08/03/22 11:01:00,08/03/22 11:16:00,08/03/22 11:31:00,08/03/22 11:46:00,08/03/22 12:01:00,08/03/22 12:16:00,08/03/22 12:31:00,08/03/22 12:46:00,08/03/22 13:01:00,08/03/22 13:16:00,08/03/22 13:31:00,08/03/22 13:46:00,08/03/22 14:01:00,08/03/22 14:16:00,08/03/22 14:31:00,08/03/22 14:46:00,08/03/22 15:01:00,08/03/22 15:16:00,08/03/22 15:31:00,08/03/22 15:46:00,08/03/22 16:01:00,08/03/22 16:16:00,08/03/22 16:31:00,08/03/22 16:46:00,08/03/22 17:01:00,08/03/22 17:16:00,08/03/22 17:31:00,08/03/22 17:46:00,08/03/22 18:01:00,08/03/22 18:16:00,08/03/22 18:31:00,08/03/22 18:46:00,08/03/22 19:01:00,08/03/22 19:16:00,08/03/22 19:31:00,08/03/22 19:46:00,08/03/22 20:01:00,08/03/22 20:16:00,08/03/22 20:31:00,08/03/22 20:46:00,08/03/22 21:01:00,08/03/22 22:01:00,08/03/22 22:46:00,08/03/22 23:01:00,08/03/22 23:16:00,08/03/22 23:31:00,08/03/22 23:46:00,08/04/22 00:01:00
max_amp,0.0004115797055544166,0.0005146422734388552,0.00045533814797160227,0.0004345132831643102,0.0004255401844865265,0.0003814190923363874,0.00042740017516692175,0.00045118211271652666,0.0004515587550366027,0.0004492975262452781,0.0004802617148050948,0.0004044750878234635,0.00048025770284405405,0.0004190864597215677,0.0004610135034300033,0.0004329667105081074,0.00041331309357661516,0.0004594268873122205,0.0003835734495384435,0.00042434489856827605,0.0004306232772985303,0.000405643764976316,0.0003735533535863611,0.0004110822683631415,0.00040535335280889024,0.00039921339514535246,0.00039829542685450265,0.000375485232468945,0.00039527429120374383,0.00044149739616954943,0.00035217563635871885,0.0003813930079369958,0.00044431823392585435,0.0003885624107228209,0.0003958796724129899,0.00036004491602898103,0.00035760347780325953,0.000425343388030588,0.000438262417967771,0.00038634903055148145,0.0004867587125281671,0.00037400287096210806,0.0003938255391397552,0.000395659321215689,0.00036537104904368396,0.000459654777221124,0.00041587069024364657,0.000394729665537693,0.00047149190606267263,0.0003854022657931832,0.00041069066445769466,0.0004417261689297889,0.0004514922802934281,0.00037488469689278883,0.00035502922108608133,0.00047965839481004793,0.0004484282953526452,0.000522427520350707,0.0006948665044491845,0.0010638975620330569,0.0023502595692804795,0.0007113488597944044,0.0005946539914754498,0.0005638321093335317,0.0005035642715868306,0.0005647769482175207,0.0005755748478166908,0.0005299022024508182,0.00054954930377102,0.0005189172358633067,0.0004760369225363237,0.00046148921158024783,0.00043916311720480707,0.00042950045233967795,0.0004944446345409992,0.0004587857671529703,0.0006008720941170212,0.0004954646199747563,0.0005317351157215387,0.0005788573663921148,0.000666745826974281,0.0007218673476614503,0.0007133996133696595,0.0006617641256691383,0.000655544888628082,0.000827201577775711,0.0007987274286704003,0.0008171838187145619,0.0007998684446255503,0.0007288044740952467,0.0008805330758751977,0.0007371356381756445
mean_amp,0.00029640287772346604,0.00034504538965003586,0.00032222198197185147,0.00030927364416117367,0.00029450064266253734,0.0002804376194003779,0.0002973116396269547,0.0002995655225097808,0.0003047367239524387,0.0003047809423567787,0.0003088763976653104,0.00031776900618037715,0.00031241895290923184,0.00030527782453754004,0.00030438062644386817,0.00030539950353729837,0.0003049518795060826,0.00030336737105337344,0.00028935509525568234,0.0002696964612133824,0.00028786522796349286,0.0002726814064014353,0.0002714127069911473,0.00027445433051949,0.0002754903657914126,0.0002792998376013605,0.0002785608901144215,0.00026881464713694666,0.0002775937976007045,0.00027237959900005594,0.0002617388948813901,0.0002686871281977111,0.0002812209119421178,0.00027303758284324714,0.00026356820701154023,0.000266784956831529,0.00027879525480228407,0.00029374522617871507,0.0002908139649803983,0.0002802596711909452,0.00030917917754789026,0.0002796801050065106,0.0002662902620543018,0.0002711487533938045,0.0002681163624687527,0.0002772169314437668,0.0002914906214667667,0.00026817968505072183,0.0002717060545013339,0.0002718233575818605,0.0002827832073777535,0.00027553373806582396,0.0002627690127011979,0.0002741623885366892,0.00026753285917013154,0.0002629942992989968,0.00026563602250920867,0.00030256542005354,0.0003241623618253258,0.0006165994631517934,0.0015567758866790846,0.0005435575447818001,0.0004444417432323567,0.0003855374413015141,0.0003960495893462744,0.0004305897609043315,0.00042022435001709394,0.0003987346039497712,0.0004091473952121586,0.0003903469425312834,0.00035268921608578246,0.00034091832313543795,0.0003228840400277729,0.00030274617144986397,0.0003062773378254814,0.0003194991164871887,0.00034883995775668834,0.00034074031033034044,0.000354753681014948,0.0003967479557380876,0.0004373338527899835,0.0004656652518262877,0.00048022647382182145,0.0005158160863739853,0.0005012609388680465,0.000599324880881698,0.0005748437921953663,0.000610267133661668,0.0006007631747594595,0.0005422371011355278,0.0005873000094345003,0.0005596643387693685
median_amp,0.0002915427207240028,0.00033793312725807615,0.0003128925709767335,0.0003033784663416283,0.00028247044426766286,0.0002706961028245823,0.00028379157767577953,0.00029091224202826673,0.00029289698525506553,0.0002997302658560092,0.0002975742121941025,0.000314657977558695,0.00030609533749662227,0.000293990860523616,0.00030140310737461473,0.0002956791004168118,0.0002995387808284466,0.00029574736779990334,0.0002875345766684774,0.0002665714317311445,0.0002771107014723137,0.0002731203480146254,0.0002630548816698407,0.00026737444083372675,0.0002727182862529221,0.00027394885814390943,0.0002742015068376597,0.0002643752173455037,0.0002687712714276892,0.00026579649935223334,0.0002591918516120226,0.00026391024508140505,0.00027779158275807573,0.00026653845080268617,0.00025322178192847816,0.0002636545173631855,0.00026620296009284886,0.00028717521436210183,0.00027513734285949595,0.00027257613562096136,0.0002969553906766135,0.0002766834960818577,0.00026112737900065567,0.0002644094345032241,0.00025578179847354104,0.00026652586718440934,0.0002827615069011932,0.00025863004986295777,0.00026890356254284816,0.0002633777398916869,0.00027778768345775885,0.00026530223834693315,0.00025227687203256764,0.00026708608762189166,0.0002650831610982509,0.00026385480100791917,0.0002554125278685127,0.00029201797243526956,0.0003148778376231413,0.0006039011456354024,0.0015928196056310124,0.0005360383538995163,0.00043870381136434396,0.0003789111591000425,0.00039254258746215613,0.00042255813493354824,0.00042411378591817163,0.0003935312803910983,0.00040848109682416195,0.0003860465682909577,0.00034961309470026757,0.0003397846158493832,0.0003180349795838246,0.00029677238500149113,0.00029093796223451696,0.00031165103754054085,0.0003445919180273633,0.00033472425914737045,0.00034610230100088626,0.0003823218625734606,0.00043553724027360977,0.0004524312137492984,0.00048101926761876033,0.0005228039336874394,0.000499038240801302,0.0005885320614181874,0.0005560911125303222,0.0006062516266238385,0.0005966474870107185,0.0005387057273873283,0.0005681543769899199,0.0005534843217618971
impulses_ch6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impulses_ch5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impulses_ch4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impulses_ch3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,10,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
impulses_ch2,12,18,21,13,17,16,30,12,20,8,11,10,8,6,18,13,12,15,8,9,17,10,8,7,17,3,11,11,9,10,10,11,8,2,13,10,12,8,8,7,18,4,8,4,10,13,24,4,15,10,12,19,7,9,10,11,13,39,68,234,1234,21,9,17,3,5,8,9,8,9,2,7,7,9,10,6,21,17,17,27,35,40,37,45,34,42,56,67,34,30,50,32
impulses_ch1,365,594,501,498,398,376,467,416,446,448,398,407,410,358,365,413,413,358,385,319,389,321,306,358,314,347,402,320,376,316,334,313,372,367,299,310,393,295,316,322,370,313,306,359,311,370,414,357,334,328,380,357,309,362,332,271,308,556,659,2993,12249,1522,961,597,686,869,767,610,753,608,519,461,426,294,399,440,529,608,575,847,1072,1330,1480,1774,1727,2293,2144,2338,2299,1718,2073,1909
max_env_ch6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
