,8/13/2023 0:00,8/13/2023 0:15,8/13/2023 0:30,8/13/2023 0:45,8/13/2023 1:00,8/13/2023 1:15,8/13/2023 1:30,8/13/2023 1:45,8/13/2023 2:00,8/13/2023 2:15,8/13/2023 2:30,8/13/2023 2:45,8/13/2023 3:00,8/13/2023 3:15,8/13/2023 3:30,8/13/2023 3:45,8/13/2023 4:00,8/13/2023 4:15,8/13/2023 4:30,8/13/2023 4:45,8/13/2023 5:00,8/13/2023 5:15,8/13/2023 5:30,8/13/2023 5:45,8/13/2023 6:00,8/13/2023 6:15,8/13/2023 6:30,8/13/2023 6:45,8/13/2023 7:00,8/13/2023 7:15,8/13/2023 7:30,8/13/2023 7:45,8/13/2023 8:00,8/13/2023 8:15,8/13/2023 8:30,8/13/2023 8:45,8/13/2023 9:00,8/13/2023 9:15,8/13/2023 9:30,8/13/2023 9:45,8/13/2023 10:00,8/13/2023 10:15,8/13/2023 10:30,8/13/2023 10:45,8/13/2023 11:00,8/13/2023 11:15,8/13/2023 11:30,8/13/2023 11:45,8/13/2023 12:00,8/13/2023 12:15,8/13/2023 12:30,8/13/2023 12:45,8/13/2023 13:00,8/13/2023 13:15,8/13/2023 13:30,8/13/2023 13:45,8/13/2023 14:00,8/13/2023 14:15,8/13/2023 14:30,8/13/2023 14:45,8/13/2023 15:00,8/13/2023 15:15,8/13/2023 15:30,8/13/2023 15:45,8/13/2023 16:00,8/13/2023 16:15,8/13/2023 16:30,8/13/2023 16:45,8/13/2023 17:00,8/13/2023 17:15,8/13/2023 17:30,8/13/2023 17:45,8/13/2023 18:00,8/13/2023 18:15,8/13/2023 18:30,8/13/2023 18:45,8/13/2023 19:00,8/13/2023 19:15,8/13/2023 19:30,8/13/2023 19:45,8/13/2023 20:00,8/13/2023 20:15,8/13/2023 20:30,8/13/2023 20:45,8/13/2023 21:00,8/13/2023 21:15,8/13/2023 21:30,8/13/2023 21:45,8/13/2023 22:00,8/13/2023 22:15,8/13/2023 22:30,8/13/2023 22:45,8/13/2023 23:00,8/13/2023 23:15,8/13/2023 23:30,8/13/2023 23:45,8/14/2023 0:00
max_amp,0.002249868,0.001647385,0.002453572,0.002647191,0.002386984,0.00173301,0.0018406,0.001896034,0.001785249,0.002197524,0.001870533,0.002110077,0.002094977,0.001790126,0.001528889,0.00241816,0.002001609,0.001757984,0.002089365,0.002185849,0.001706421,0.00217371,0.001979974,0.001935989,0.002418256,0.001829471,0.002102396,0.002452924,0.002056252,0.003196615,0.001715413,0.001710567,0.002058157,0.002214165,0.00194019,0.002001256,0.001717842,0.002244514,0.001759151,0.002013165,0.002434913,0.002419959,0.001903657,0.00244517,0.002036896,0.002136625,0.001991258,0.00181021,0.00171037,0.001936489,0.002042733,0.00232712,0.002115602,0.002068256,0.001974362,0.002361155,0.0022006,0.002499952,0.002426624,0.002234594,0.002309438,0.002047038,0.001905867,0.001993202,0.001846294,0.001872433,0.001986841,0.002052962,0.001848348,0.002599187,0.00241764,0.001447026,0.001856597,0.001701051,0.004493904,0.001707054,0.001424961,0.001573183,0.001482476,0.001182712,0.001179614,0.001448783,0.001539824,0.002358953,0.001909191,0.001553342,0.001386446,0.001197659,0.001361453,0.001148459,0.00130232,0.001275368,0.001624162,0.001084103,0.001292778,0.001165362,0.00104873
mean_amp,0.001113961,0.001069397,0.001048381,0.001224748,0.001221001,0.001027043,0.001093445,0.001095732,0.001153958,0.001181172,0.001092299,0.001034483,0.001076427,0.00105255,0.001081989,0.001136715,0.001054389,0.000973839,0.001179108,0.001126502,0.001075713,0.001119935,0.001098215,0.001083056,0.00116572,0.001172051,0.001071357,0.001068729,0.001114185,0.001155388,0.001086912,0.001029246,0.001063643,0.001041555,0.001084192,0.001014901,0.001099672,0.001162789,0.001077466,0.001075993,0.001164687,0.001158694,0.001052394,0.00113473,0.00107744,0.001147063,0.001102612,0.001118354,0.00108812,0.00106191,0.001211299,0.001208352,0.001079578,0.00117942,0.001093493,0.001140641,0.001186275,0.001200899,0.001187676,0.001078284,0.001171033,0.001146457,0.001128601,0.001115637,0.001060482,0.001147014,0.001112851,0.001058827,0.001112553,0.00111115,0.001080876,0.000988668,0.001088063,0.000962003,0.002636855,0.001212454,0.001073015,0.001077204,0.000951526,0.000818092,0.00083414,0.000921701,0.000938819,0.00112255,0.000991977,0.000948032,0.000868395,0.000845243,0.000808994,0.000741506,0.000729738,0.000694615,0.000688441,0.000683142,0.000665087,0.000695895,0.000730344
median_amp,0.001030511,0.001022453,0.000965539,0.001190316,0.001127721,0.000994921,0.001038752,0.00104494,0.001147847,0.001141204,0.001065019,0.001000494,0.000985943,0.001001635,0.001095868,0.001086902,0.000962427,0.000899612,0.00108367,0.001058227,0.001021361,0.001062445,0.001058095,0.00103168,0.001090267,0.001120118,0.000987561,0.000992303,0.001050528,0.00107855,0.001049787,0.000985063,0.001011221,0.001002306,0.001052944,0.000948153,0.001066688,0.001072288,0.001062948,0.000986007,0.001089732,0.001075461,0.001023841,0.00105411,0.001052065,0.001112329,0.001063997,0.001064776,0.001047311,0.001007159,0.001227934,0.001100702,0.001023762,0.001125747,0.001066764,0.00106098,0.001126317,0.001160843,0.001149012,0.000987244,0.001073996,0.001089556,0.001104433,0.001066747,0.001040711,0.001090576,0.001073913,0.000971831,0.0010803,0.001031692,0.001013724,0.000985288,0.001113075,0.000898616,0.002517829,0.001217316,0.001039785,0.001059094,0.000938074,0.000807094,0.000818165,0.00091381,0.000910556,0.001062484,0.000933973,0.000905816,0.000828193,0.000854548,0.000791689,0.000717964,0.000697659,0.000670625,0.000664478,0.000675512,0.000638322,0.000680985,0.000706779
impulses_ch6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impulses_ch5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impulses_ch4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impulses_ch3,5,7,2,11,18,2,5,9,7,12,2,9,10,3,4,11,2,4,8,6,10,7,7,5,13,8,7,4,6,8,4,4,1,5,1,5,6,13,3,4,10,8,3,7,7,8,5,7,4,4,13,10,7,9,6,6,8,14,15,3,13,7,6,12,5,7,3,7,10,7,6,1,5,7,74,1,1,1,0,0,0,0,0,3,1,1,1,0,1,0,2,0,1,0,0,1,0
impulses_ch2,160,168,176,246,219,136,190,160,215,222,180,158,152,148,161,185,160,140,198,192,179,176,173,178,238,197,172,176,182,219,162,158,176,172,178,151,172,191,143,159,253,195,171,178,191,215,181,198,180,181,244,244,176,227,175,212,240,225,223,185,211,236,192,220,205,241,203,173,224,206,181,172,217,127,986,113,69,87,35,34,45,56,52,94,69,57,39,34,57,21,20,30,34,27,30,39,49
impulses_ch1,2602,2435,2220,2673,2590,2349,2421,2359,2499,2515,2491,2296,2230,2261,2329,2351,2208,2015,2496,2384,2369,2418,2289,2229,2385,2383,2327,2185,2308,2383,2471,2249,2384,2170,2458,2202,2328,2577,2418,2394,2293,2383,2219,2304,2265,2468,2431,2325,2385,2293,2497,2382,2220,2426,2345,2297,2413,2419,2399,2223,2316,2404,2473,2243,2188,2393,2221,1995,2140,2154,2125,2055,2031,1884,7420,3165,2565,2836,2255,1626,1631,1961,1951,2684,2280,2121,1742,1583,1446,1321,1237,1066,987,954,929,1074,1165
max_env_ch6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
