,09/14/23 00:00:00,09/14/23 00:15:00,09/14/23 00:30:00,09/14/23 00:45:00,09/14/23 01:00:00,09/14/23 01:15:00,09/14/23 01:30:00,09/14/23 01:45:00,09/14/23 02:00:00,09/14/23 02:15:00,09/14/23 02:30:00,09/14/23 02:45:00,09/14/23 03:00:00,09/14/23 03:15:00,09/14/23 03:30:00,09/14/23 03:45:00,09/14/23 04:00:00,09/14/23 04:15:00,09/14/23 04:30:00,09/14/23 04:45:00,09/14/23 05:00:00,09/14/23 05:15:00,09/14/23 05:30:00,09/14/23 05:45:00,09/14/23 06:00:00,09/14/23 06:15:00,09/14/23 06:30:00,09/14/23 06:45:00,09/14/23 07:00:00,09/14/23 07:15:00,09/14/23 07:30:00,09/14/23 07:45:00,09/14/23 08:00:00,09/14/23 08:15:00,09/14/23 08:30:00,09/14/23 08:45:00,09/14/23 09:00:00,09/14/23 09:15:00,09/14/23 09:30:00,09/14/23 09:45:00,09/14/23 10:00:00,09/14/23 10:15:00,09/14/23 10:30:00,09/14/23 10:45:00,09/14/23 11:00:00,09/14/23 11:15:00,09/14/23 11:30:00,09/14/23 11:45:00,09/14/23 12:00:00,09/14/23 12:15:00,09/14/23 12:30:00,09/14/23 12:45:00,09/14/23 13:00:00,09/14/23 13:15:00,09/14/23 13:30:00,09/14/23 13:45:00,09/14/23 14:00:00,09/14/23 14:15:00,09/14/23 14:30:00,09/14/23 14:45:00,09/14/23 15:00:00,09/14/23 15:15:00,09/14/23 15:30:00,09/14/23 15:45:00,09/14/23 16:00:00,09/14/23 16:15:00,09/14/23 16:30:00,09/14/23 16:45:00,09/14/23 17:00:00,09/14/23 17:15:00,09/14/23 17:30:00,09/14/23 17:45:00,09/14/23 18:00:00,09/14/23 18:15:00,09/14/23 18:30:00,09/14/23 18:45:00,09/14/23 19:00:00,09/14/23 19:15:00,09/14/23 19:30:00,09/14/23 19:45:00,09/14/23 20:00:00,09/14/23 20:15:00,09/14/23 20:30:00,09/14/23 20:45:00,09/14/23 21:00:00,09/14/23 21:15:00,09/14/23 21:30:00,09/14/23 21:45:00,09/14/23 22:00:00,09/14/23 22:15:00,09/14/23 22:30:00,09/14/23 22:45:00,09/14/23 23:00:00,09/14/23 23:15:00,09/14/23 23:30:00,09/14/23 23:45:00,09/15/23 00:00:00
max_amp,0.0021838204226159517,0.0036514284875600943,0.002344664598375425,0.002770075957616446,0.0032988583256601564,0.0032196034249660256,0.0029381587205997753,0.002529632666031138,0.003349941743698342,0.002856548036969804,0.0024700513383310706,0.0029948960183912346,0.004374621292522445,0.003304823632021158,0.0026101479163779437,0.0034492446703599587,0.00293329747065603,0.002750279590989844,0.0022792305827963504,0.003094443785381011,0.003507618902400552,0.0030202741957290843,0.003413239062176487,0.0032341999785024935,0.002433112468909489,0.0037740137961204414,0.0024497070282956663,0.0037617232394543533,0.0023645955027843733,0.002809416191414968,0.0024801459472191816,0.0032044809062062524,0.0033887728090559125,0.00303524421614245,0.003097416212891563,0.003444537942982387,0.0024329488916469896,0.0028953987425933358,0.003129560887834757,0.003489931043992935,0.0036377183278511376,0.002536524232937725,0.002598019690224875,0.0025747826429475392,0.0030532085576236833,0.002782632332237484,0.002545637202951626,0.00242217926534627,0.0024512270306645575,0.003719949723300544,0.003676591013923785,0.002693200938450722,0.0025233747787358784,0.002797696245001942,0.0029273894871044807,0.0027760331722237273,0.004608124320413186,0.010077927137192173,0.004954858235347175,0.012650935725113733,0.00899107150158693,0.01048286639978416,0.009932701112376015,0.011216271031302351,0.011655377446168303,0.010125915624305417,0.011120419364966836,0.01012381455330776,0.01191016456033117,0.009441418456523083,0.010466721073764501,0.012977277091645326,0.013636754998015208,0.010726586328106788,0.01014343644926806,0.009779670144836196,0.008510783602561947,0.007912776447238005,0.008461913339476584,0.010266739707452403,0.008569601916538242,0.008479600071772663,0.010142721012295618,0.012422484815439097,0.00983161783508946,0.011796465518258374,0.011287152566606232,0.011398122561485423,0.011504150123277403,0.013784634670390716,0.018090807058550273,0.01281657269545909,0.015144374557734125,0.01277774839923878,0.013856146246729466,0.012465257150200264,0.011056414239476032
mean_amp,0.0014891824145582635,0.001753397803681622,0.0016019154493279804,0.0015725541346796124,0.001746732531976686,0.0017337197143540324,0.001658010429175589,0.0016468273882458584,0.0017192566054674203,0.001690820368949257,0.001672151513924681,0.0017113909395271498,0.0017665701070916867,0.0017104322482313851,0.0017013262818912052,0.001778511314419578,0.001730264552648251,0.0016547362917884274,0.001617970325052458,0.0016607893298397356,0.001623090595845334,0.001727653502016318,0.001629764365395589,0.0016277129436887718,0.0016605374055266853,0.0017050294362768454,0.0017625755879899481,0.0017618236075253658,0.001739607855546019,0.0017223016219032488,0.0016819695432638549,0.0017782382891798172,0.0017202132268754997,0.001768829910799384,0.0016904896134355032,0.0018264948907686855,0.0017186295044436216,0.0016954745257503978,0.0015757954896491217,0.0016494681723764287,0.001579879995580443,0.0016399840813678616,0.0016014473143931172,0.0016126739495556407,0.0016221669553992005,0.001609528151185064,0.0016789147098060224,0.001526568892172012,0.001595116055047221,0.0016248359514678655,0.0022926385695548595,0.0016074702941470467,0.001679500939110025,0.0015207707979043553,0.0016960930761890402,0.0014637672746968201,0.002739800528199875,0.005859409193275466,0.003184906154592257,0.005248780744381024,0.0049686124843220155,0.006292115715412778,0.005675067388881924,0.006285504884558173,0.006853264562225857,0.007673959376841577,0.007128719530718016,0.007068688586666299,0.0070372114978492824,0.006978958479146731,0.007003289527207076,0.007712110901988387,0.0071057430055224465,0.0073385254564511644,0.006920799441454092,0.006780520997294002,0.00607274387516107,0.005356604622344551,0.005689756518976082,0.005667719766331495,0.005761818119728185,0.005790649019951836,0.006039204914645759,0.0066900414441850835,0.006755019944018863,0.006970383651654866,0.007049007956290579,0.007587715513436912,0.007281690869485059,0.008187841605884913,0.008053048739414138,0.007523290641379235,0.008321498730112977,0.007950744356090854,0.007460181845342158,0.007458678566602711,0.007484461742375762
median_amp,0.0014443244099790705,0.0017216514123762376,0.0015680091692821204,0.0014641417011293017,0.0016442662465729774,0.0016740788654041289,0.0016123247858814225,0.0016464519487362668,0.0016762735368699487,0.0015953841081297467,0.0016686525136920447,0.0016311125180861143,0.0016822284507010937,0.0016503465804855477,0.00168305382720369,0.0016622636481175073,0.0016363612046482608,0.0015633823822900086,0.0016153551420158628,0.0016313729884523049,0.0015418052837500975,0.0016526958284461175,0.0015408527650193258,0.001574010761409983,0.001657852397511663,0.0015672554206913884,0.0017802770378395442,0.0016838548882704587,0.001754504232836728,0.0016672758300645626,0.001618473597961345,0.0017178947864107971,0.001650689330429928,0.0017621261016921878,0.0016682852402588348,0.001698737379115627,0.0017025546443031362,0.0016630477110872975,0.0014958677366156447,0.001575578704413696,0.0014671725903094446,0.0016084253088663367,0.0015257549927031617,0.001537874868406768,0.0015203353825497142,0.00152815318806007,0.0016216055088611207,0.0015205763694368147,0.001595456146358725,0.0015405963606936095,0.0022238805807066565,0.0015482418897719479,0.0016514990348078346,0.0014950328657627825,0.0016534347877096443,0.0014326834117918625,0.002713567986653315,0.005832126463952619,0.0030478859200983926,0.004480564172630401,0.0048719667041107785,0.006366375809510549,0.005366538956497009,0.005924639652102355,0.006704325565602994,0.007546293414974072,0.00704323212732471,0.007024351552087821,0.0068933303884616435,0.006951742873250124,0.006900805263276973,0.007479341575309133,0.006592870352388201,0.00722682250103524,0.0065995808395566315,0.006627835196299731,0.006146167655451267,0.005237506801205967,0.0056219036906926066,0.005388423167592476,0.005762970897364817,0.0057048831746521565,0.005912459466195584,0.006476219060007615,0.006617100225866125,0.006710734935568318,0.00699721497394374,0.007421526972986078,0.0069522704379340345,0.008134126404474713,0.00787096031713936,0.007520500747621834,0.00797157806790709,0.007621438502565046,0.007192184311665042,0.007023456930773499,0.007382271512806122
impulses_ch6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
impulses_ch5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
impulses_ch4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,19.0,5.0,26.0,9.0,17.0,13.0,21.0,16.0,11.0,17.0,15.0,15.0,7.0,7.0,23.0,16.0,11.0,11.0,6.0,4.0,0.0,3.0,4.0,8.0,6.0,7.0,22.0,17.0,19.0,13.0,16.0,23.0,31.0,21.0,27.0,36.0,26.0,17.0,22.0,29.0
impulses_ch3,12.0,22.0,12.0,14.0,25.0,25.0,16.0,17.0,19.0,13.0,26.0,18.0,24.0,29.0,13.0,30.0,15.0,13.0,12.0,17.0,12.0,25.0,15.0,18.0,21.0,29.0,29.0,16.0,10.0,24.0,13.0,25.0,23.0,14.0,15.0,23.0,18.0,9.0,6.0,18.0,14.0,12.0,7.0,13.0,11.0,15.0,17.0,16.0,13.0,14.0,43.0,17.0,14.0,9.0,18.0,9.0,60.0,320.0,101.0,298.0,193.0,365.0,289.0,343.0,351.0,504.0,424.0,397.0,354.0,365.0,388.0,473.0,391.0,382.0,313.0,336.0,241.0,161.0,244.0,228.0,260.0,260.0,323.0,452.0,507.0,534.0,610.0,666.0,597.0,782.0,787.0,633.0,820.0,845.0,726.0,695.0,675.0
impulses_ch2,335.0,439.0,411.0,365.0,456.0,499.0,455.0,412.0,447.0,468.0,395.0,431.0,435.0,418.0,458.0,417.0,438.0,385.0,377.0,396.0,412.0,415.0,358.0,424.0,434.0,414.0,436.0,447.0,484.0,420.0,444.0,439.0,407.0,463.0,399.0,510.0,435.0,417.0,373.0,398.0,429.0,418.0,399.0,369.0,404.0,355.0,436.0,387.0,421.0,403.0,832.0,403.0,438.0,334.0,449.0,306.0,1197.0,4104.0,1340.0,2583.0,3138.0,4424.0,3794.0,4704.0,4814.0,5588.0,5280.0,5578.0,5532.0,5711.0,5435.0,5827.0,5626.0,6064.0,5832.0,5404.0,5196.0,4414.0,4620.0,4341.0,4551.0,4573.0,4690.0,5034.0,5194.0,5444.0,5499.0,5832.0,5691.0,6352.0,6092.0,5744.0,6255.0,5924.0,5594.0,5477.0,5430.0
impulses_ch1,3559.0,4033.0,3953.0,3808.0,4311.0,4066.0,3940.0,3981.0,3968.0,4165.0,4045.0,4146.0,4148.0,3996.0,4042.0,3765.0,4015.0,3762.0,4020.0,3681.0,3854.0,3849.0,3661.0,3765.0,3791.0,3829.0,4034.0,3994.0,4242.0,4280.0,3903.0,3986.0,4014.0,4123.0,3932.0,4132.0,4108.0,3860.0,3737.0,3672.0,3533.0,3415.0,3597.0,3609.0,3698.0,3609.0,3848.0,3449.0,3743.0,3655.0,5589.0,3786.0,3901.0,3649.0,4215.0,3417.0,6783.0,9010.0,8226.0,9063.0,9332.0,8756.0,8819.0,8970.0,8191.0,7765.0,8491.0,8384.0,8313.0,8253.0,8277.0,8253.0,8500.0,8131.0,8443.0,8300.0,8743.0,9255.0,8905.0,9027.0,9461.0,9309.0,9132.0,9099.0,9058.0,9071.0,9187.0,8937.0,9100.0,8887.0,8803.0,9165.0,8624.0,8876.0,9194.0,9131.0,9272.0
max_env_ch6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
