storm,tauc,tauc*,date
st2,70.19689921,0.099375708,8/3/2022 15:01
st3,73.38701644,0.103891864,8/8/2022 14:31
st4,79.76729556,0.112924239,7/29/2023 14:45
st7,68.97077533,0.09763992,9/14/2023 22:45
sp0,100.6221904,0.142447907,4/15/2023 13:35
sp1,118.2273343,0.167370997,4/19/2023 15:45
sp2,108.5111527,0.153616082,4/21/2023 22:45
sp3,106.9706094,0.151435179,4/22/2023 15:30
sp4,113.7204026,0.160990665,4/23/2023 17:15
sp5,112.6631988,0.159494013,4/27/2023 15:30
sp6,114.8909762,0.162647812,4/30/2023 8:15
sp7,116.5553166,0.16500397,4/30/2023 13:30
sp8,118.4060225,0.167623961,5/2/2023 15:15
sp9,115.7551224,0.163871159,5/3/2023 11:00
sp10,121.1219717,0.171468851,5/4/2023 9:00
