k1,k2,epsilon,MAE
1e-06,1e-06,1.0,0.007394491898598594
1e-06,1e-06,2.0,0.007393126941382083
1e-06,1e-06,3.0,0.0073930140685270485
1e-06,1e-06,4.0,0.007393000686710768
1e-06,1e-06,5.0,0.0073929988614636
1e-06,1e-06,6.0,0.007392998597246077
1e-06,1e-06,7.0,0.007392998557763014
1e-06,1e-06,8.0,0.007392998551735981
1e-06,1e-06,9.0,0.007392998550800764
1e-06,1e-06,10.0,0.007392998550653639
1e-06,1.2663801734674021e-06,1.0,0.007394889939051838
1e-06,1.2663801734674021e-06,2.0,0.00739316114323673
1e-06,1.2663801734674021e-06,3.0,0.007393018202204213
1e-06,1.2663801734674021e-06,4.0,0.007393001255721773
1e-06,1.2663801734674021e-06,5.0,0.007392998944264685
1e-06,1.2663801734674021e-06,6.0,0.007392998609664803
1e-06,1.2663801734674021e-06,7.0,0.007392998559664209
1e-06,1.2663801734674021e-06,8.0,0.0073929985520316405
1e-06,1.2663801734674021e-06,9.0,0.007392998550847234
1e-06,1.2663801734674021e-06,10.0,0.007392998550661063
1e-06,1.6037187437513308e-06,1.0,0.0073953941557445835
1e-06,1.6037187437513308e-06,2.0,0.007393204456452973
1e-06,1.6037187437513308e-06,3.0,0.007393023437020627
1e-06,1.6037187437513308e-06,4.0,0.007393001976306289
1e-06,1.6037187437513308e-06,5.0,0.00739299904912228
1e-06,1.6037187437513308e-06,6.0,0.007392998625391556
1e-06,1.6037187437513308e-06,7.0,0.007392998562071915
1e-06,1.6037187437513308e-06,8.0,0.007392998552406091
1e-06,1.6037187437513308e-06,9.0,0.007392998550906256
1e-06,1.6037187437513308e-06,10.0,0.007392998550670438
1e-06,2.030917620904735e-06,1.0,0.007396032920113864
1e-06,2.030917620904735e-06,2.0,0.007393259308519126
1e-06,2.030917620904735e-06,3.0,0.007393030066303791
1e-06,2.030917620904735e-06,4.0,0.00739300288884065
1e-06,2.030917620904735e-06,5.0,0.007392999181911851
1e-06,2.030917620904735e-06,6.0,0.007392998645307659
1e-06,2.030917620904735e-06,7.0,0.007392998565120802
1e-06,2.030917620904735e-06,8.0,0.007392998552880281
1e-06,2.030917620904735e-06,9.0,0.00739299855098105
1e-06,2.030917620904735e-06,10.0,0.007392998550682442
1e-06,2.571913809059347e-06,1.0,0.007396842222381718
1e-06,2.571913809059347e-06,2.0,0.007393328773800716
1e-06,2.571913809059347e-06,3.0,0.00739303846152136
1e-06,2.571913809059347e-06,4.0,0.007393004044456544
1e-06,2.571913809059347e-06,5.0,0.007392999350073946
1e-06,2.571913809059347e-06,6.0,0.007392998670529061
1e-06,2.571913809059347e-06,7.0,0.007392998568981908
1e-06,2.571913809059347e-06,8.0,0.007392998553480919
1e-06,2.571913809059347e-06,9.0,0.007392998551075669
1e-06,2.571913809059347e-06,10.0,0.007392998550697541
1e-06,3.257020655659783e-06,1.0,0.007397867729728544
1e-06,3.257020655659783e-06,2.0,0.007393416746002475
1e-06,3.257020655659783e-06,3.0,0.0073930490930980905
1e-06,3.257020655659783e-06,4.0,0.007393005507906565
1e-06,3.257020655659783e-06,5.0,0.007392999563031091
1e-06,3.257020655659783e-06,6.0,0.0073929987024688795
1e-06,3.257020655659783e-06,7.0,0.007392998573871677
1e-06,3.257020655659783e-06,8.0,0.007392998554241401
1e-06,3.257020655659783e-06,9.0,0.007392998551195504
1e-06,3.257020655659783e-06,10.0,0.007392998550716547
1e-06,4.124626382901348e-06,1.0,0.00739916739487622
1e-06,4.124626382901348e-06,2.0,0.0073935281566598
1e-06,4.124626382901348e-06,3.0,0.00739306255677967
1e-06,4.124626382901348e-06,4.0,0.007393007361192021
1e-06,4.124626382901348e-06,5.0,0.007392999832715949
1e-06,4.124626382901348e-06,6.0,0.007392998742916913
1e-06,4.124626382901348e-06,7.0,0.007392998580064002
1e-06,4.124626382901348e-06,8.0,0.007392998555204415
1e-06,4.124626382901348e-06,9.0,0.007392998551347153
1e-06,4.124626382901348e-06,10.0,0.0073929985507407425
1e-06,5.223345074266844e-06,1.0,0.007400814840716696
1e-06,5.223345074266844e-06,2.0,0.0073936692519724415
1e-06,5.223345074266844e-06,3.0,0.007393079607021444
1e-06,5.223345074266844e-06,4.0,0.0073930097081583435
1e-06,5.223345074266844e-06,5.0,0.007393000174239599
1e-06,5.223345074266844e-06,6.0,0.007392998794139294
1e-06,5.223345074266844e-06,7.0,0.007392998587905646
1e-06,5.223345074266844e-06,8.0,0.007392998556424009
1e-06,5.223345074266844e-06,9.0,0.00739299855153934
1e-06,5.223345074266844e-06,10.0,0.00739299855077135
1e-06,6.6147406412301455e-06,1.0,0.007402903658849359
1e-06,6.6147406412301455e-06,2.0,0.007393847943611288
1e-06,6.6147406412301455e-06,3.0,0.007393101199273132
1e-06,6.6147406412301455e-06,4.0,0.007393012680313733
1e-06,6.6147406412301455e-06,5.0,0.007393000606738295
1e-06,6.6147406412301455e-06,6.0,0.007392998859006683
1e-06,6.6147406412301455e-06,7.0,0.0073929985978362575
1e-06,6.6147406412301455e-06,8.0,0.007392998557968634
1e-06,6.6147406412301455e-06,9.0,0.007392998551782673
1e-06,6.6147406412301455e-06,10.0,0.007392998550810138
1e-06,8.376776400682924e-06,1.0,0.007405552943563702
1e-06,8.376776400682924e-06,2.0,0.0073940742533371295
1e-06,8.376776400682924e-06,3.0,0.007393128543535243
1e-06,8.376776400682924e-06,4.0,0.007393016444198333
1e-06,8.376776400682924e-06,5.0,0.007393001154446278
1e-06,8.376776400682924e-06,6.0,0.007392998941153153
1e-06,8.376776400682924e-06,7.0,0.007392998610412059
1e-06,8.376776400682924e-06,8.0,0.0073929985599246045
1e-06,8.376776400682924e-06,9.0,0.007392998552090926
1e-06,8.376776400682924e-06,10.0,0.007392998550859162
1e-06,1.0608183551394482e-05,1.0,0.007408914428700647
1e-06,1.0608183551394482e-05,2.0,0.007394360876644843
1e-06,1.0608183551394482e-05,3.0,0.007393163172187876
1e-06,1.0608183551394482e-05,4.0,0.007393021210716839
1e-06,1.0608183551394482e-05,5.0,0.0073930018480530685
1e-06,1.0608183551394482e-05,6.0,0.007392999045181911
1e-06,1.0608183551394482e-05,7.0,0.007392998626338118
1e-06,1.0608183551394482e-05,8.0,0.007392998562401547
1e-06,1.0608183551394482e-05,9.0,0.007392998552481232
1e-06,1.0608183551394482e-05,10.0,0.007392998550921313
1e-06,1.3433993325988988e-05,1.0,0.007413181731127226
1e-06,1.3433993325988988e-05,2.0,0.007394723897493523
1e-06,1.3433993325988988e-05,3.0,0.007393207025902682
1e-06,1.3433993325988988e-05,4.0,0.007393027246956799
1e-06,1.3433993325988988e-05,5.0,0.0073930027264233755
1e-06,1.3433993325988988e-05,6.0,0.007392999176921884
1e-06,1.3433993325988988e-05,7.0,0.007392998646506242
1e-06,1.3433993325988988e-05,8.0,0.00739299856553844
1e-06,1.3433993325988988e-05,9.0,0.007392998552975455
1e-06,1.3433993325988988e-05,10.0,0.007392998551000084
1e-06,1.7012542798525893e-05,1.0,0.007418602845454883
1e-06,1.7012542798525893e-05,2.0,0.007395183694940535
1e-06,1.7012542798525893e-05,3.0,0.007393262562460819
1e-06,1.7012542798525893e-05,4.0,0.007393034891156169
1e-06,1.7012542798525893e-05,5.0,0.007393003838774739
1e-06,1.7012542798525893e-05,6.0,0.007392999343754758
1e-06,1.7012542798525893e-05,7.0,0.007392998672046923
1e-06,1.7012542798525893e-05,8.0,0.007392998569510922
1e-06,1.7012542798525893e-05,9.0,0.007392998553601336
1e-06,1.7012542798525893e-05,10.0,0.00739299855109974
1e-06,2.1544346900318823e-05,1.0,0.007425495304035197
1e-06,2.1544346900318823e-05,2.0,0.007395766093713292
1e-06,2.1544346900318823e-05,3.0,0.007393332894594602
1e-06,2.1544346900318823e-05,4.0,0.007393044571658215
1e-06,2.1544346900318823e-05,5.0,0.007393005247435497
1e-06,2.1544346900318823e-05,6.0,0.007392999555028569
1e-06,2.1544346900318823e-05,7.0,0.007392998704390932
1e-06,2.1544346900318823e-05,8.0,0.007392998574541405
1e-06,2.1544346900318823e-05,9.0,0.007392998554393883
1e-06,2.1544346900318823e-05,10.0,0.007392998551225979
1e-06,2.7283333764867696e-05,1.0,0.007434267501021524
1e-06,2.7283333764867696e-05,2.0,0.007396503825178508
1e-06,2.7283333764867696e-05,3.0,0.00739342196460107
1e-06,2.7283333764867696e-05,4.0,0.007393056830917649
