k1,k2,epsilon,MAE
1e-06,1e-06,1.0,0.03217533015026091
1e-06,1e-06,2.0,0.032252294435028556
1e-06,1e-06,3.0,0.03225758769564217
1e-06,1e-06,4.0,0.032258047782839784
1e-06,1e-06,5.0,0.032258093478229145
1e-06,1e-06,6.0,0.032258098453698064
1e-06,1e-06,7.0,0.032258099032462476
1e-06,1e-06,8.0,0.03225809910308733
1e-06,1e-06,9.0,0.03225809911201001
1e-06,1e-06,10.0,0.03225809911316639
1e-06,1.2663801734674021e-06,1.0,0.032152219110513136
1e-06,1.2663801734674021e-06,2.0,0.03225074117658771
1e-06,1.2663801734674021e-06,3.0,0.032257451397570455
1e-06,1.2663801734674021e-06,4.0,0.0322580341086149
1e-06,1.2663801734674021e-06,5.0,0.0322580919771354
1e-06,1.2663801734674021e-06,6.0,0.0322580982779814
1e-06,1.2663801734674021e-06,7.0,0.0322580990109175
1e-06,1.2663801734674021e-06,8.0,0.03225809910035578
1e-06,1.2663801734674021e-06,9.0,0.03225809911165532
1e-06,1.2663801734674021e-06,10.0,0.03225809911311976
1e-06,1.6037187437513308e-06,1.0,0.03212225047984278
1e-06,1.6037187437513308e-06,2.0,0.03224876990434802
1e-06,1.6037187437513308e-06,3.0,0.032257278752196535
1e-06,1.6037187437513308e-06,4.0,0.032258016791366445
1e-06,1.6037187437513308e-06,5.0,0.03225809007617385
1e-06,1.6037187437513308e-06,6.0,0.03225809805545769
1e-06,1.6037187437513308e-06,7.0,0.032258098983634485
1e-06,1.6037187437513308e-06,8.0,0.03225809909689629
1e-06,1.6037187437513308e-06,9.0,0.03225809911120562
1e-06,1.6037187437513308e-06,10.0,0.03225809911306005
1e-06,2.030917620904735e-06,1.0,0.03208315579703733
1e-06,2.030917620904735e-06,2.0,0.03224626667078098
1e-06,2.030917620904735e-06,3.0,0.03225706005302501
1e-06,2.030917620904735e-06,4.0,0.03225799486037503
1e-06,2.030917620904735e-06,5.0,0.032258087668821864
1e-06,2.030917620904735e-06,6.0,0.0322580977736576
1e-06,2.030917620904735e-06,7.0,0.032258098949082645
1e-06,2.030917620904735e-06,8.0,0.0322580990925156
1e-06,2.030917620904735e-06,9.0,0.0322580991106365
1e-06,2.030917620904735e-06,10.0,0.032258099112984724
1e-06,2.571913809059347e-06,1.0,0.032031728114699724
1e-06,2.571913809059347e-06,2.0,0.0322430855788388
1e-06,2.571913809059347e-06,3.0,0.03225678299324337
1e-06,2.571913809059347e-06,4.0,0.03225796708616542
1e-06,2.571913809059347e-06,5.0,0.03225808462018233
1e-06,2.571913809059347e-06,6.0,0.03225809741679192
1e-06,2.571913809059347e-06,7.0,0.032258098905326944
1e-06,2.571913809059347e-06,8.0,0.03225809908696779
1e-06,2.571913809059347e-06,9.0,0.03225809910991571
1e-06,2.571913809059347e-06,10.0,0.0322580991128896
1e-06,3.257020655659783e-06,1.0,0.031963343648025735
1e-06,3.257020655659783e-06,2.0,0.03223903927786971
1e-06,3.257020655659783e-06,3.0,0.03225643196414542
1e-06,3.257020655659783e-06,4.0,0.03225793191147353
1e-06,3.257020655659783e-06,5.0,0.0322580807594168
1e-06,3.257020655659783e-06,6.0,0.03225809696486356
1e-06,3.257020655659783e-06,7.0,0.03225809884991571
1e-06,3.257020655659783e-06,8.0,0.03225809907994191
1e-06,3.257020655659783e-06,9.0,0.032258099109003305
1e-06,3.257020655659783e-06,10.0,0.03225809911276896
1e-06,4.124626382901348e-06,1.0,0.031871211568055266
1e-06,4.124626382901348e-06,2.0,0.032233886296623736
1e-06,4.124626382901348e-06,3.0,0.03225598716126345
1e-06,4.124626382901348e-06,4.0,0.032257887363757135
1e-06,4.124626382901348e-06,5.0,0.032258075870175644
1e-06,4.124626382901348e-06,6.0,0.032258096392549375
1e-06,4.124626382901348e-06,7.0,0.03225809877974391
1e-06,4.124626382901348e-06,8.0,0.03225809907104444
1e-06,4.124626382901348e-06,9.0,0.03225809910784769
1e-06,4.124626382901348e-06,10.0,0.03225809911261633
1e-06,5.223345074266844e-06,1.0,0.03174471268247224
1e-06,5.223345074266844e-06,2.0,0.03222731395559447
1e-06,5.223345074266844e-06,3.0,0.032255423443684386
1e-06,5.223345074266844e-06,4.0,0.0322578309443079
1e-06,5.223345074266844e-06,5.0,0.03225806967846578
1e-06,5.223345074266844e-06,6.0,0.03225809566778128
1e-06,5.223345074266844e-06,7.0,0.03225809869087985
1e-06,5.223345074266844e-06,8.0,0.032258099059777764
1e-06,5.223345074266844e-06,9.0,0.03225809910638365
1e-06,5.223345074266844e-06,10.0,0.03225809911242275
1e-06,6.6147406412301455e-06,1.0,0.03156597801969482
1e-06,6.6147406412301455e-06,2.0,0.032218914976262454
1e-06,6.6147406412301455e-06,3.0,0.03225470887548657
1e-06,6.6147406412301455e-06,4.0,0.032257759487648655
1e-06,6.6147406412301455e-06,5.0,0.03225806183729094
1e-06,6.6147406412301455e-06,6.0,0.03225809474994696
1e-06,6.6147406412301455e-06,7.0,0.0322580985783443
1e-06,6.6147406412301455e-06,8.0,0.03225809904550863
1e-06,6.6147406412301455e-06,9.0,0.03225809910452995
1e-06,6.6147406412301455e-06,10.0,0.03225809911217782
1e-06,8.376776400682924e-06,1.0,0.031301093860629334
1e-06,8.376776400682924e-06,2.0,0.03220815489684438
1e-06,8.376776400682924e-06,3.0,0.03225380285601035
1e-06,8.376776400682924e-06,4.0,0.03225766898321819
1e-06,8.376776400682924e-06,5.0,0.03225805190719707
1e-06,8.376776400682924e-06,6.0,0.03225809358761706
1e-06,8.376776400682924e-06,7.0,0.03225809843583109
1e-06,8.376776400682924e-06,8.0,0.032258099027439
1e-06,8.376776400682924e-06,9.0,0.032258099102182705
1e-06,8.376776400682924e-06,10.0,0.03225809911186731
1e-06,1.0608183551394482e-05,1.0,0.030870133354574864
1e-06,1.0608183551394482e-05,2.0,0.03219432572902538
1e-06,1.0608183551394482e-05,3.0,0.03225265371550605
1e-06,1.0608183551394482e-05,4.0,0.03225755434913215
1e-06,1.0608183551394482e-05,5.0,0.03225803933162521
1e-06,1.0608183551394482e-05,6.0,0.03225809211566087
1e-06,1.0608183551394482e-05,7.0,0.032258098255355055
1e-06,1.0608183551394482e-05,8.0,0.032258099004555764
1e-06,1.0608183551394482e-05,9.0,0.03225809909921043
1e-06,1.0608183551394482e-05,10.0,0.032258099111474155
1e-06,1.3433993325988988e-05,1.0,0.03005502912456774
1e-06,1.3433993325988988e-05,2.0,0.03217647835266
1e-06,1.3433993325988988e-05,3.0,0.03225119561108311
1e-06,1.3433993325988988e-05,4.0,0.03225740914499746
1e-06,1.3433993325988988e-05,5.0,0.03225802340569296
1e-06,1.3433993325988988e-05,6.0,0.03225809025159684
1e-06,1.3433993325988988e-05,7.0,0.0322580980268038
1e-06,1.3433993325988988e-05,8.0,0.0322580989755777
1e-06,1.3433993325988988e-05,9.0,0.032258099095445754
1e-06,1.3433993325988988e-05,10.0,0.03225809911097709
1e-06,1.7012542798525893e-05,1.0,0.027621917383061672
1e-06,1.7012542798525893e-05,2.0,0.03215332119314676
1e-06,1.7012542798525893e-05,3.0,0.03224934449966448
1e-06,1.7012542798525893e-05,4.0,0.032257225207126115
1e-06,1.7012542798525893e-05,5.0,0.032258003236644295
1e-06,1.7012542798525893e-05,6.0,0.03225808789097091
1e-06,1.7012542798525893e-05,7.0,0.03225809773737159
1e-06,1.7012542798525893e-05,8.0,0.03225809893887953
1e-06,1.7012542798525893e-05,9.0,0.032258099090678435
