k1,k2,epsilon,MAE
1e-06,1e-06,1.0,0.015084782909763108
1e-06,1e-06,2.0,0.015555270249438572
1e-06,1e-06,3.0,0.015626107763491985
1e-06,1e-06,4.0,0.015638930209633264
1e-06,1e-06,5.0,0.015641468974391705
1e-06,1e-06,6.0,0.015642003150069497
1e-06,1e-06,7.0,0.01564212113358297
1e-06,1e-06,8.0,0.015642148273728375
1e-06,1e-06,9.0,0.015642154734762048
1e-06,1e-06,10.0,0.015642156317950164
1e-06,1.2663801734674021e-06,1.0,0.014919010341595818
1e-06,1.2663801734674021e-06,2.0,0.015531338598763175
1e-06,1.2663801734674021e-06,3.0,0.015621796575934885
1e-06,1.2663801734674021e-06,4.0,0.015638068871582714
1e-06,1.2663801734674021e-06,5.0,0.01564128563721263
1e-06,1.2663801734674021e-06,6.0,0.015641962200704747
1e-06,1.2663801734674021e-06,7.0,0.015642111618181187
1e-06,1.2663801734674021e-06,8.0,0.015642145988264106
1e-06,1.2663801734674021e-06,9.0,0.015642154170410975
1e-06,1.2663801734674021e-06,10.0,0.015642156175330595
1e-06,1.6037187437513308e-06,1.0,0.014697609386829593
1e-06,1.6037187437513308e-06,2.0,0.01550053340472846
1e-06,1.6037187437513308e-06,3.0,0.015616314949663469
1e-06,1.6037187437513308e-06,4.0,0.015636976985279938
1e-06,1.6037187437513308e-06,5.0,0.01564105340230309
1e-06,1.6037187437513308e-06,6.0,0.01564191033970276
1e-06,1.6037187437513308e-06,7.0,0.01564209956784371
1e-06,1.6037187437513308e-06,8.0,0.015642143093982246
1e-06,1.6037187437513308e-06,9.0,0.015642153455727354
1e-06,1.6037187437513308e-06,10.0,0.015642155994719558
1e-06,2.030917620904735e-06,1.0,0.01440116927490897
1e-06,2.030917620904735e-06,2.0,0.015460696696135178
1e-06,2.030917620904735e-06,3.0,0.015609337520442653
1e-06,2.030917620904735e-06,4.0,0.015635592466475293
1e-06,2.030917620904735e-06,5.0,0.01564075920779413
1e-06,2.030917620904735e-06,6.0,0.01564184465828345
1e-06,2.030917620904735e-06,7.0,0.015642084307181663
1e-06,2.030917620904735e-06,8.0,0.01564213942869837
1e-06,2.030917620904735e-06,9.0,0.015642152550664333
1e-06,2.030917620904735e-06,10.0,0.015642155765997735
1e-06,2.571913809059347e-06,1.0,0.014005422809190305
1e-06,2.571913809059347e-06,2.0,0.015408869514184964
1e-06,2.571913809059347e-06,3.0,0.01560044375010386
1e-06,2.571913809059347e-06,4.0,0.01563383628407404
1e-06,2.571913809059347e-06,5.0,0.01564038649031301
1e-06,2.571913809059347e-06,6.0,0.015641761471534003
1e-06,2.571913809059347e-06,7.0,0.015642064980815783
1e-06,2.571913809059347e-06,8.0,0.01564213478701799
