k1,k2,epsilon,MAE
1e-06,1e-06,1.0,0.039451532096574336
1e-06,1e-06,2.0,0.03945583723105467
1e-06,1e-06,3.0,0.03945595383824395
1e-06,1e-06,4.0,0.039455957693677365
1e-06,1e-06,5.0,0.03945595783629306
1e-06,1e-06,6.0,0.03945595784193399
1e-06,1e-06,7.0,0.03945595784216742
1e-06,1e-06,8.0,0.03945595784217722
1e-06,1e-06,9.0,0.03945595784217768
1e-06,1e-06,10.0,0.039455957842177695
1e-06,1.2663801734674021e-06,1.0,0.03945034956605722
1e-06,1.2663801734674021e-06,2.0,0.039455805098940144
1e-06,1.2663801734674021e-06,3.0,0.03945595277167084
1e-06,1.2663801734674021e-06,4.0,0.03945595765411992
1e-06,1.2663801734674021e-06,5.0,0.039455957834725455
1e-06,1.2663801734674021e-06,6.0,0.03945595784186959
1e-06,1.2663801734674021e-06,7.0,0.039455957842164734
1e-06,1.2663801734674021e-06,8.0,0.03945595784217713
1e-06,1.2663801734674021e-06,9.0,0.03945595784217768
1e-06,1.2663801734674021e-06,10.0,0.039455957842177695
1e-06,1.6037187437513308e-06,1.0,0.03944884984998549
1e-06,1.6037187437513308e-06,2.0,0.03945576440523202
1e-06,1.6037187437513308e-06,3.0,0.039455951420980934
1e-06,1.6037187437513308e-06,4.0,0.03945595760402608
1e-06,1.6037187437513308e-06,5.0,0.03945595783273999
1e-06,1.6037187437513308e-06,6.0,0.03945595784178819
1e-06,1.6037187437513308e-06,7.0,0.03945595784216137
1e-06,1.6037187437513308e-06,8.0,0.039455957842176974
1e-06,1.6037187437513308e-06,9.0,0.03945595784217768
1e-06,1.6037187437513308e-06,10.0,0.039455957842177695
1e-06,2.030917620904735e-06,1.0,0.03944694713817662
1e-06,2.030917620904735e-06,2.0,0.039455712867941556
1e-06,2.030917620904735e-06,3.0,0.03945594971048747
1e-06,2.030917620904735e-06,4.0,0.03945595754058793
1e-06,2.030917620904735e-06,5.0,0.03945595783022632
1e-06,2.030917620904735e-06,6.0,0.03945595784168505
1e-06,2.030917620904735e-06,7.0,0.039455957842157045
1e-06,2.030917620904735e-06,8.0,0.039455957842176745
1e-06,2.030917620904735e-06,9.0,0.03945595784217767
1e-06,2.030917620904735e-06,10.0,0.039455957842177695
1e-06,2.571913809059347e-06,1.0,0.039444531956430176
1e-06,2.571913809059347e-06,2.0,0.039455647596386
1e-06,2.571913809059347e-06,3.0,0.03945594754434567
1e-06,2.571913809059347e-06,4.0,0.03945595746024945
1e-06,2.571913809059347e-06,5.0,0.039455957827043184
1e-06,2.571913809059347e-06,6.0,0.03945595784155269
1e-06,2.571913809059347e-06,7.0,0.03945595784215167
1e-06,2.571913809059347e-06,8.0,0.03945595784217654
1e-06,2.571913809059347e-06,9.0,0.03945595784217766
1e-06,2.571913809059347e-06,10.0,0.039455957842177695
1e-06,3.257020655659783e-06,1.0,0.039441464375608457
1e-06,3.257020655659783e-06,2.0,0.03945556492855752
1e-06,3.257020655659783e-06,3.0,0.039455944801174064
1e-06,3.257020655659783e-06,4.0,0.03945595735851094
1e-06,3.257020655659783e-06,5.0,0.03945595782301223
1e-06,3.257020655659783e-06,6.0,0.03945595784138656
1e-06,3.257020655659783e-06,7.0,0.0394559578421445
1e-06,3.257020655659783e-06,8.0,0.03945595784217624
1e-06,3.257020655659783e-06,9.0,0.039455957842177654
1e-06,3.257020655659783e-06,10.0,0.039455957842177695
1e-06,4.124626382901348e-06,1.0,0.03943756510712702
1e-06,4.124626382901348e-06,2.0,0.03945546022486064
1e-06,4.124626382901348e-06,3.0,0.0394559413272567
1e-06,4.124626382901348e-06,4.0,0.039455957229672496
1e-06,4.124626382901348e-06,5.0,0.03945595781790609
1e-06,4.124626382901348e-06,6.0,0.03945595784117615
1e-06,4.124626382901348e-06,7.0,0.039455957842135556
1e-06,4.124626382901348e-06,8.0,0.03945595784217586
1e-06,4.124626382901348e-06,9.0,0.03945595784217763
1e-06,4.124626382901348e-06,10.0,0.039455957842177695
1e-06,5.223345074266844e-06,1.0,0.03943260373671374
1e-06,5.223345074266844e-06,2.0,0.0394553276064341
1e-06,5.223345074266844e-06,3.0,0.03945593692792257
1e-06,5.223345074266844e-06,4.0,0.039455957066512906
1e-06,5.223345074266844e-06,5.0,0.03945595781144045
1e-06,5.223345074266844e-06,6.0,0.0394559578409095
1e-06,5.223345074266844e-06,7.0,0.039455957842124335
1e-06,5.223345074266844e-06,8.0,0.03945595784217541
1e-06,5.223345074266844e-06,9.0,0.039455957842177605
1e-06,5.223345074266844e-06,10.0,0.039455957842177695
1e-06,6.6147406412301455e-06,1.0,0.03942628302628035
1e-06,6.6147406412301455e-06,2.0,0.039455159623005075
1e-06,6.6147406412301455e-06,3.0,0.039455931356642986
1e-06,6.6147406412301455e-06,4.0,0.03945595685989047
1e-06,6.6147406412301455e-06,5.0,0.0394559578032536
1e-06,6.6147406412301455e-06,6.0,0.039455957840571335
1e-06,6.6147406412301455e-06,7.0,0.03945595784210978
1e-06,6.6147406412301455e-06,8.0,0.03945595784217484
1e-06,6.6147406412301455e-06,9.0,0.03945595784217759
1e-06,6.6147406412301455e-06,10.0,0.039455957842177695
1e-06,8.376776400682924e-06,1.0,0.03941821773005712
1e-06,8.376776400682924e-06,2.0,0.03945494683101424
1e-06,8.376776400682924e-06,3.0,0.03945592430120249
1e-06,8.376776400682924e-06,4.0,0.0394559565982296
1e-06,8.376776400682924e-06,5.0,0.039455957792885285
1e-06,8.376776400682924e-06,6.0,0.039455957840143156
1e-06,8.376776400682924e-06,7.0,0.039455957842091445
1e-06,8.376776400682924e-06,8.0,0.03945595784217404
1e-06,8.376776400682924e-06,9.0,0.039455957842177536
1e-06,8.376776400682924e-06,10.0,0.039455957842177695
1e-06,1.0608183551394482e-05,1.0,0.039407905625007844
1e-06,1.0608183551394482e-05,2.0,0.03945467725740367
1e-06,1.0608183551394482e-05,3.0,0.03945591536619997
1e-06,1.0608183551394482e-05,4.0,0.03945595626686564
1e-06,1.0608183551394482e-05,5.0,0.03945595777975545
1e-06,1.0608183551394482e-05,6.0,0.03945595783960197
1e-06,1.0608183551394482e-05,7.0,0.03945595784206817
1e-06,1.0608183551394482e-05,8.0,0.03945595784217296
1e-06,1.0608183551394482e-05,9.0,0.03945595784217751
1e-06,1.0608183551394482e-05,10.0,0.039455957842177695
1e-06,1.3433993325988988e-05,1.0,0.0393946808353103
1e-06,1.3433993325988988e-05,2.0,0.03945433571736141
1e-06,1.3433993325988988e-05,3.0,0.03945590405087625
1e-06,1.3433993325988988e-05,4.0,0.03945595584723271
1e-06,1.3433993325988988e-05,5.0,0.03945595776312707
1e-06,1.3433993325988988e-05,6.0,0.03945595783891552
1e-06,1.3433993325988988e-05,7.0,0.03945595784203901
1e-06,1.3433993325988988e-05,8.0,0.039455957842171686
1e-06,1.3433993325988988e-05,9.0,0.03945595784217746
1e-06,1.3433993325988988e-05,10.0,0.039455957842177695
1e-06,1.7012542798525893e-05,1.0,0.03937766986086861
1e-06,1.7012542798525893e-05,2.0,0.03945390294521769
1e-06,1.7012542798525893e-05,3.0,0.03945588972103257
1e-06,1.7012542798525893e-05,4.0,0.0394559553158173
1e-06,1.7012542798525893e-05,5.0,0.03945595774206871
1e-06,1.7012542798525893e-05,6.0,0.03945595783804688
1e-06,1.7012542798525893e-05,7.0,0.039455957842001954
1e-06,1.7012542798525893e-05,8.0,0.039455957842170195
1e-06,1.7012542798525893e-05,9.0,0.03945595784217737
1e-06,1.7012542798525893e-05,10.0,0.039455957842177695
1e-06,2.1544346900318823e-05,1.0,0.03935569918023103
1e-06,2.1544346900318823e-05,2.0,0.03945335448556344
1e-06,2.1544346900318823e-05,3.0,0.03945587157345814
1e-06,2.1544346900318823e-05,4.0,0.03945595464284373
1e-06,2.1544346900318823e-05,5.0,0.039455957715402
1e-06,2.1544346900318823e-05,6.0,0.03945595783694612
1e-06,2.1544346900318823e-05,7.0,0.03945595784195525
1e-06,2.1544346900318823e-05,8.0,0.039455957842168085
1e-06,2.1544346900318823e-05,9.0,0.03945595784217726
1e-06,2.1544346900318823e-05,10.0,0.03945595784217768
1e-06,2.7283333764867696e-05,1.0,0.03932716896696094
1e-06,2.7283333764867696e-05,2.0,0.03945265927570029
1e-06,2.7283333764867696e-05,3.0,0.03945584859085029
1e-06,2.7283333764867696e-05,4.0,0.03945595379059988
1e-06,2.7283333764867696e-05,5.0,0.03945595768163205
1e-06,2.7283333764867696e-05,6.0,0.03945595783555249
1e-06,2.7283333764867696e-05,7.0,0.03945595784189666
1e-06,2.7283333764867696e-05,8.0,0.03945595784216566
1e-06,2.7283333764867696e-05,9.0,0.03945595784217716
1e-06,2.7283333764867696e-05,10.0,0.03945595784217768
1e-06,3.455107294592218e-05,1.0,0.03928980173988262
1e-06,3.455107294592218e-05,2.0,0.03945177782901142
1e-06,3.455107294592218e-05,3.0,0.03945581948472559
1e-06,3.455107294592218e-05,4.0,0.039455952711334626
1e-06,3.455107294592218e-05,5.0,0.039455957638866154
1e-06,3.455107294592218e-05,6.0,0.0394559578337868
1e-06,3.455107294592218e-05,7.0,0.03945595784182232
1e-06,3.455107294592218e-05,8.0,0.03945595784216253
1e-06,3.455107294592218e-05,9.0,0.03945595784217702
1e-06,3.455107294592218e-05,10.0,0.03945595784217768
1e-06,4.37547937507418e-05,1.0,0.03924042392783342
1e-06,4.37547937507418e-05,2.0,0.03945065989969858
1e-06,4.37547937507418e-05,3.0,0.03945578262304578
1e-06,4.37547937507418e-05,4.0,0.039455951344570014
1e-06,4.37547937507418e-05,5.0,0.03945595758470771
1e-06,4.37547937507418e-05,6.0,0.039455957831552216
1e-06,4.37547937507418e-05,7.0,0.03945595784172852
1e-06,4.37547937507418e-05,8.0,0.03945595784215864
1e-06,4.37547937507418e-05,9.0,0.03945595784217681
1e-06,4.37547937507418e-05,10.0,0.03945595784217768
1e-06,5.541020330009492e-05,1.0,0.0391742237735879
1e-06,5.541020330009492e-05,2.0,0.03944924146929474
1e-06,5.541020330009492e-05,3.0,0.03945573593852551
1e-06,5.541020330009492e-05,4.0,0.03945594961372138
1e-06,5.541020330009492e-05,5.0,0.039455957516124636
1e-06,5.541020330009492e-05,6.0,0.039455957828723145
1e-06,5.541020330009492e-05,7.0,0.039455957841608366
1e-06,5.541020330009492e-05,8.0,0.039455957842153506
1e-06,5.541020330009492e-05,9.0,0.039455957842176606
1e-06,5.541020330009492e-05,10.0,0.03945595784217766
1e-06,7.017038286703822e-05,1.0,0.03908375068664453
1e-06,7.017038286703822e-05,2.0,0.0394474408391277
1e-06,7.017038286703822e-05,3.0,0.03945567681236551
1e-06,7.017038286703822e-05,4.0,0.03945594742179857
1e-06,7.017038286703822e-05,5.0,0.039455957429270064
1e-06,7.017038286703822e-05,6.0,0.03945595782513915
1e-06,7.017038286703822e-05,7.0,0.03945595784145559
1e-06,7.017038286703822e-05,8.0,0.03945595784214697
1e-06,7.017038286703822e-05,9.0,0.03945595784217635
1e-06,7.017038286703822e-05,10.0,0.039455957842177654
1e-06,8.886238162743407e-05,1.0,0.03895761599227652
1e-06,8.886238162743407e-05,2.0,0.03944515353314742
1e-06,8.886238162743407e-05,3.0,0.03945560192685109
1e-06,8.886238162743407e-05,4.0,0.039455944645976314
1e-06,8.886238162743407e-05,5.0,0.03945595731927944
1e-06,8.886238162743407e-05,6.0,0.03945595782060097
1e-06,8.886238162743407e-05,7.0,0.03945595784126431
1e-06,8.886238162743407e-05,8.0,0.039455957842138595
1e-06,8.886238162743407e-05,9.0,0.03945595784217595
1e-06,8.886238162743407e-05,10.0,0.03945595784217764
1e-06,0.00011253355826007646,1.0,0.038773392921950506
1e-06,0.00011253355826007646,2.0,0.03944224559949193
1e-06,0.00011253355826007646,3.0,0.03945550707837596
1e-06,0.00011253355826007646,4.0,0.03945594113070672
1e-06,0.00011253355826007646,5.0,0.03945595717998953
1e-06,0.00011253355826007646,6.0,0.039455957814852095
1e-06,0.00011253355826007646,7.0,0.039455957841021086
1e-06,0.00011253355826007646,8.0,0.03945595784212818
1e-06,0.00011253355826007646,9.0,0.03945595784217557
1e-06,0.00011253355826007646,10.0,0.03945595784217762
1e-06,0.00014251026703029977,1.0,0.038481736427996745
1e-06,0.00014251026703029977,2.0,0.039438544727221046
1e-06,0.00014251026703029977,3.0,0.03945538694016955
1e-06,0.00014251026703029977,4.0,0.03945593667899979
1e-06,0.00014251026703029977,5.0,0.03945595700359592
1e-06,0.00014251026703029977,6.0,0.039455957807574105
1e-06,0.00014251026703029977,7.0,0.039455957840713235
1e-06,0.00014251026703029977,8.0,0.039455957842115016
1e-06,0.00014251026703029977,9.0,0.039455957842175045
