k1,k2,epsilon,MAE
1e-06,1e-06,1.0,0.04851760935650893
1e-06,1e-06,2.0,0.048578223155687904
1e-06,1e-06,3.0,0.04858163314340899
1e-06,1e-06,4.0,0.04858187441556869
1e-06,1e-06,5.0,0.0485818940238777
1e-06,1e-06,6.0,0.04858189576606495
1e-06,1e-06,7.0,0.048581895930501884
1e-06,1e-06,8.0,0.048581895946709454
1e-06,1e-06,9.0,0.04858189594836112
1e-06,1e-06,10.0,0.048581895948532405
1e-06,1.2663801734674021e-06,1.0,0.048500204665178785
1e-06,1.2663801734674021e-06,2.0,0.04857724331180439
1e-06,1.2663801734674021e-06,3.0,0.04858156312718423
1e-06,1.2663801734674021e-06,4.0,0.048581868679524354
1e-06,1.2663801734674021e-06,5.0,0.0485818935111813
1e-06,1.2663801734674021e-06,6.0,0.048581895717452146
1e-06,1.2663801734674021e-06,7.0,0.048581895925693
1e-06,1.2663801734674021e-06,8.0,0.04858189594621882
1e-06,1.2663801734674021e-06,9.0,0.048581895948309646
1e-06,1.2663801734674021e-06,10.0,0.04858189594852714
1e-06,1.6037187437513308e-06,1.0,0.04847799123038624
1e-06,1.6037187437513308e-06,2.0,0.04857600155869834
1e-06,1.6037187437513308e-06,3.0,0.04858147445389621
1e-06,1.6037187437513308e-06,4.0,0.048581861415460836
1e-06,1.6037187437513308e-06,5.0,0.0485818928619115
1e-06,1.6037187437513308e-06,6.0,0.048581895655892084
1e-06,1.6037187437513308e-06,7.0,0.0485818959196043
1e-06,1.6037187437513308e-06,8.0,0.04858189594559673
1e-06,1.6037187437513308e-06,9.0,0.048581895948243636
1e-06,1.6037187437513308e-06,10.0,0.04858189594852002
1e-06,2.030917620904735e-06,1.0,0.04844958268940957
1e-06,2.030917620904735e-06,2.0,0.04857442758468326
1e-06,2.030917620904735e-06,3.0,0.04858136214997764
1e-06,2.030917620904735e-06,4.0,0.04858185221631258
1e-06,2.030917620904735e-06,5.0,0.04858189203968943
1e-06,2.030917620904735e-06,6.0,0.04858189557793214
1e-06,2.030917620904735e-06,7.0,0.048581895911891416
1e-06,2.030917620904735e-06,8.0,0.04858189594480888
1e-06,2.030917620904735e-06,9.0,0.04858189594816074
1e-06,2.030917620904735e-06,10.0,0.048581895948511054
1e-06,2.571913809059347e-06,1.0,0.04841314891749964
1e-06,2.571913809059347e-06,2.0,0.048572432017815574
1e-06,2.571913809059347e-06,3.0,0.04858121991476053
1e-06,2.571913809059347e-06,4.0,0.04858184056656328
1e-06,2.571913809059347e-06,5.0,0.04858189099844199
1e-06,2.571913809059347e-06,6.0,0.04858189547920579
1e-06,2.571913809059347e-06,7.0,0.04858189590212627
1e-06,2.571913809059347e-06,8.0,0.04858189594381183
1e-06,2.571913809059347e-06,9.0,0.048581895948057154
1e-06,2.571913809059347e-06,10.0,0.04858189594850063
1e-06,3.257020655659783e-06,1.0,0.048366264018903794
1e-06,3.257020655659783e-06,2.0,0.048569901146885884
1e-06,3.257020655659783e-06,3.0,0.048581039765617395
1e-06,3.257020655659783e-06,4.0,0.04858182581334176
1e-06,3.257020655659783e-06,5.0,0.04858188967982522
1e-06,3.257020655659783e-06,6.0,0.04858189535418212
1e-06,3.257020655659783e-06,7.0,0.04858189588975784
1e-06,3.257020655659783e-06,8.0,0.04858189594254835
1e-06,3.257020655659783e-06,9.0,0.04858189594792414
1e-06,3.257020655659783e-06,10.0,0.04858189594848617
1e-06,4.124626382901348e-06,1.0,0.04830564155416405
1e-06,4.124626382901348e-06,2.0,0.048566690112212686
1e-06,4.124626382901348e-06,3.0,0.048580811587752744
1e-06,4.124626382901348e-06,4.0,0.048581807129818654
1e-06,4.124626382901348e-06,5.0,0.048581888009952084
1e-06,4.124626382901348e-06,6.0,0.048581895195852064
1e-06,4.124626382901348e-06,7.0,0.048581895874095504
1e-06,4.124626382901348e-06,8.0,0.04858189594094813
1e-06,4.124626382901348e-06,9.0,0.048581895947756186
1e-06,4.124626382901348e-06,10.0,0.04858189594846841
1e-06,5.223345074266844e-06,1.0,0.04822684951747134
