k1,k2,epsilon,MAE
1e-06,1e-06,1.0,0.02911888583247747
1e-06,1e-06,2.0,0.029421851740354367
1e-06,1e-06,3.0,0.029475317569716365
1e-06,1e-06,4.0,0.02948660124085265
1e-06,1e-06,5.0,0.029489170952640326
1e-06,1e-06,6.0,0.029489783665696562
1e-06,1e-06,7.0,0.02948993485171223
1e-06,1e-06,8.0,0.02948997324823227
1e-06,1e-06,9.0,0.02948998325178428
1e-06,1e-06,10.0,0.02948998591847677
1e-06,1.2663801734674021e-06,1.0,0.029007528414307517
1e-06,1.2663801734674021e-06,2.0,0.029403056407068952
1e-06,1.2663801734674021e-06,3.0,0.02947136818386915
1e-06,1.2663801734674021e-06,4.0,0.029485696597334587
1e-06,1.2663801734674021e-06,5.0,0.029488953407702155
1e-06,1.2663801734674021e-06,6.0,0.029489729508652952
1e-06,1.2663801734674021e-06,7.0,0.029489920979540573
1e-06,1.2663801734674021e-06,8.0,0.02948996960497626
1e-06,1.2663801734674021e-06,9.0,0.02948998227333662
1e-06,1.2663801734674021e-06,10.0,0.029489985650388555
1e-06,1.6037187437513308e-06,1.0,0.028858591186681836
1e-06,1.6037187437513308e-06,2.0,0.029378846214871968
1e-06,1.6037187437513308e-06,3.0,0.02946634118897986
1e-06,1.6037187437513308e-06,4.0,0.029484549298836364
1e-06,1.6037187437513308e-06,5.0,0.02948867780061574
1e-06,1.6037187437513308e-06,6.0,0.029489660917501583
1e-06,1.6037187437513308e-06,7.0,0.029489903411549077
1e-06,1.6037187437513308e-06,8.0,0.029489964991188077
1e-06,1.6037187437513308e-06,9.0,0.02948998103424718
1e-06,1.6037187437513308e-06,10.0,0.029489985310886303
1e-06,2.030917620904735e-06,1.0,0.028656813310567665
1e-06,2.030917620904735e-06,2.0,0.029347512062047897
1e-06,2.030917620904735e-06,3.0,0.029459933716312857
1e-06,2.030917620904735e-06,4.0,0.029483093687915483
1e-06,2.030917620904735e-06,5.0,0.029488328596726558
1e-06,2.030917620904735e-06,6.0,0.029489574042603755
1e-06,2.030917620904735e-06,7.0,0.02948988116291169
1e-06,2.030917620904735e-06,8.0,0.029489959148313583
1e-06,2.030917620904735e-06,9.0,0.02948997946508386
1e-06,2.030917620904735e-06,10.0,0.02948998488094632
1e-06,2.571913809059347e-06,1.0,0.028378698288746413
1e-06,2.571913809059347e-06,2.0,0.029306705496766772
1e-06,2.571913809059347e-06,3.0,0.02945175227089349
1e-06,2.571913809059347e-06,4.0,0.029481245994626048
1e-06,2.571913809059347e-06,5.0,0.02948788608203337
1e-06,2.571913809059347e-06,6.0,0.029489464006025402
1e-06,2.571913809059347e-06,7.0,0.029489852986265726
1e-06,2.571913809059347e-06,8.0,0.029489951748910094
1e-06,2.571913809059347e-06,9.0,0.02948997747791927
1e-06,2.571913809059347e-06,10.0,0.029489984336479157
1e-06,3.257020655659783e-06,1.0,0.02798543730868681
1e-06,3.257020655659783e-06,2.0,0.029253129628270765
1e-06,3.257020655659783e-06,3.0,0.029441282154065357
1e-06,3.257020655659783e-06,4.0,0.02947889912797823
1e-06,3.257020655659783e-06,5.0,0.02948732522485741
1e-06,3.257020655659783e-06,6.0,0.029489324625912656
1e-06,3.257020655659783e-06,7.0,0.0294898173016546
1e-06,3.257020655659783e-06,8.0,0.029489942378286817
1e-06,3.257020655659783e-06,9.0,0.029489974961400767
1e-06,3.257020655659783e-06,10.0,0.029489983646975342
1e-06,4.124626382901348e-06,1.0,0.02741875494052884
1e-06,4.124626382901348e-06,2.0,0.029182028983371255
1e-06,4.124626382901348e-06,3.0,0.029427844381164026
1e-06,4.124626382901348e-06,4.0,0.029475915840056884
1e-06,4.124626382901348e-06,5.0,0.029486614219021233
1e-06,4.124626382901348e-06,6.0,0.029489148066406522
1e-06,4.124626382901348e-06,7.0,0.029489772107737365
1e-06,4.124626382901348e-06,8.0,0.029489930511248576
1e-06,4.124626382901348e-06,9.0,0.02948997177451202
1e-06,4.124626382901348e-06,10.0,0.029489982773799828
1e-06,5.223345074266844e-06,1.0,0.02659584575288959
1e-06,5.223345074266844e-06,2.0,0.029086303532449054
1e-06,5.223345074266844e-06,3.0,0.02941053359234813
1e-06,5.223345074266844e-06,4.0,0.02947211967576272
1e-06,5.223345074266844e-06,5.0,0.029485712614321154
1e-06,5.223345074266844e-06,6.0,0.029488924392637283
1e-06,5.223345074266844e-06,7.0,0.029489714869228516
1e-06,5.223345074266844e-06,8.0,0.02948991548263999
1e-06,5.223345074266844e-06,9.0,0.029489967738665634
1e-06,5.223345074266844e-06,10.0,0.029489981668025356
1e-06,6.6147406412301455e-06,1.0,0.025421432592994963
1e-06,6.6147406412301455e-06,2.0,0.02895488555070429
1e-06,6.6147406412301455e-06,3.0,0.029388126164523957
1e-06,6.6147406412301455e-06,4.0,0.02946728286267668
1e-06,6.6147406412301455e-06,5.0,0.02948456890915545
1e-06,6.6147406412301455e-06,6.0,0.029488641004519367
1e-06,6.6147406412301455e-06,7.0,0.029489642374167062
1e-06,6.6147406412301455e-06,8.0,0.029489896450025126
1e-06,6.6147406412301455e-06,9.0,0.029489962627698818
1e-06,6.6147406412301455e-06,10.0,0.029489980267690518
1e-06,8.376776400682924e-06,1.0,0.02386548699469159
1e-06,8.376776400682924e-06,2.0,0.02876956881070375
1e-06,8.376776400682924e-06,3.0,0.029358939931744644
1e-06,8.376776400682924e-06,4.0,0.029461109896191672
1e-06,8.376776400682924e-06,5.0,0.02948311743734195
1e-06,8.376776400682924e-06,6.0,0.029488281915401537
