Time,tau_star,tau_c_star
1,0.047,0.04
2,0.047,0.0406323354852156
3,0.047,0.04124927929103317
4,0.047,0.041853191087612665
5,0.047,0.04244630578588675
6,0.047,0.04303076164176252
7,0.047,0.04360862699848753
8,0.047,0.044181926277564045
9,0.047,0.04475266584217652
10,0.047,0.04532286039456444
11,0.047,0.04589456063520489
12,0.047,0.04646988301424963
13,0.047,0.04705104255460714
14,0.047,0.04763455228348733
15,0.047,0.048160490157469864
16,0.047,0.04863432098899391
17,0.047,0.04906101942594479
18,0.047,0.04944511110720723
19,0.047,0.04979071039844566
20,0.047,0.05010155506085982
21,0.047,0.050381038154151035
22,0.047,0.050632237430172554
23,0.047,0.05085794243581594
24,0.047,0.05106067951232516
25,0.047,0.05124273485286883
26,0.047,0.05140617576009271
27,0.047,0.05155287022968271
28,0.047,0.05168450497384754
29,0.047,0.05180260198928248
30,0.047,0.051908533766895706
31,0.047,0.05200353723477007
32,0.047,0.05208872652101682
33,0.047,0.05216510461898773
34,0.047,0.05223357403347997
35,0.047,0.05229494648291314
36,0.047,0.052349951728864724
37,0.047,0.052399245600756456
38,0.047,0.05244341727986603
39,0.047,0.052482995903195544
40,0.047,0.05251845654407894
41,0.047,0.05255022562278029
42,0.047,0.052578685796752796
43,0.047,0.05260418037672446
44,0.047,0.052627017311376464
45,0.047,0.05264747278010744
46,0.047,0.052665794430249005
47,0.047,0.052682204292128776
48,0.047,0.052696901402574894
49,0.047,0.0527100641648271
50,0.047,0.052721852470363546
51,0.047,0.052732409605869994
52,0.047,0.05274186396646369
53,0.047,0.052750330594333796
54,0.047,0.052757912560165716
55,0.047,0.052764702203070835
56,0.047,0.0527707822432377
57,0.047,0.05277622678014609
58,0.047,0.05278110218793337
59,0.047,0.05278546791836424
60,0.047,0.05278937722082133
61,0.047,0.05279287778779715
62,0.047,0.05279601233351989
63,0.047,0.05279881911257847
64,0.047,0.05280133238471931
65,0.047,0.0528035828313621
66,0.047,0.05280559792881796
67,0.047,0.05280740228268523
68,0.047,0.05280901792744068
69,0.047,0.052810464594832116
70,0.047,0.052811759954308125
71,0.047,0.05281291982838757
72,0.047,0.0528139583855724
73,0.047,0.052814888313138485
74,0.047,0.05281572097189772
75,0.047,0.05281646653480822
76,0.047,0.05281713411111462
77,0.047,0.05281773185752628
78,0.047,0.052818267077784496
79,0.047,0.05281874631182953
80,0.047,0.05281917541565228
81,0.047,0.05281955963280265
82,0.047,0.05281990365842537
83,0.047,0.05282021169660342
84,0.047,0.05282048751170785
85,0.047,0.05282073447437999
86,0.047,0.05282095560270672
87,0.047,0.052821153599091
88,0.047,0.052821330883267445
89,0.047,0.05282148962186582
90,0.047,0.05282163175488324
91,0.047,0.05282175901938814
92,0.047,0.05282187297074543
93,0.047,0.05282197500162198
94,0.047,0.05282206635900446
95,0.047,0.052822148159437345
96,0.047,0.05282222140266726
97,0.047,0.05282228698386024
98,0.047,0.05282234570454112
99,0.047,0.0528223982823888
100,0.047,0.05282244536000687
101,0.047,0.05282248751277692
102,0.047,0.05282252525589035
103,0.047,0.052822559050644695
104,0.047,0.05282258931008126
105,0.047,0.05282261640403315
106,0.047,0.052822640663645164
107,0.047,0.05282266238542093
108,0.047,0.05282268183484669
109,0.047,0.052822699249635986
110,0.047,0.052822714842634975
111,0.047,0.05282272880442378
112,0.047,0.05282274130564573
113,0.047,0.05282275249909299
114,0.047,0.05282276252157394
115,0.047,0.052822771495585265
116,0.047,0.052822779530809105
117,0.047,0.0528227867254536
118,0.047,0.05282279316745318
119,0.047,0.05282279893554335
120,0.047,0.05282280410022294
