Time,tau_star,tau_c_star
1,0.047,0.04
2,0.047,0.0406264248854572
3,0.047,0.041251170184338916
4,0.047,0.04187149684433197
5,0.047,0.042484190581896335
6,0.047,0.04308583755173027
7,0.047,0.043673083730348394
8,0.047,0.04424284799261764
9,0.047,0.044792472059485826
10,0.047,0.0453198047145342
11,0.047,0.045823228538421794
12,0.047,0.0463016431276958
13,0.047,0.0467544198659922
14,0.047,0.04718134142762481
15,0.047,0.04758253599602636
16,0.047,0.04795841287212549
17,0.047,0.04830960336500298
18,0.047,0.04863690880657843
19,0.047,0.04894125617611763
20,0.047,0.04922366101819091
21,0.047,0.04948519692983007
22,0.047,0.04972697074052439
23,0.047,0.04995010250733527
24,0.047,0.05015570952418631
25,0.047,0.050344893652933285
26,0.047,0.05051873139694552
27,0.047,0.05067826624146012
28,0.047,0.05082450287297933
29,0.047,0.050958402961390634
30,0.047,0.05108088224476384
31,0.047,0.0511928087004657
32,0.047,0.05129500162008925
33,0.047,0.05138823143223262
34,0.047,0.051473220138439794
35,0.047,0.05155064224520244
36,0.047,0.05162112608993294
37,0.047,0.05168525547200207
38,0.047,0.05174357151175758
39,0.047,0.05179657467117285
40,0.047,0.05184472687956182
41,0.047,0.05188845371670609
42,0.047,0.05192814661380269
43,0.047,0.05196416503987458
44,0.047,0.051996838647708085
45,0.047,0.05202646935901835
46,0.047,0.0520533333734323
47,0.047,0.05207768309006427
48,0.047,0.0520997489339973
49,0.047,0.052119741082932054
50,0.047,0.05213785109168732
51,0.047,0.05215425341419304
52,0.047,0.05216910682416904
53,0.047,0.05218255573688664
54,0.047,0.05219473143531841
55,0.047,0.05220575320464156
56,0.047,0.05221572937951488
57,0.047,0.052224758308834954
58,0.047,0.052232929242827804
59,0.047,0.05224032314737381
60,0.047,0.052247013450421445
61,0.047,0.052253066725238155
62,0.047,0.052258543315091596
63,0.047,0.05226349790376434
64,0.047,0.05226798003609204
65,0.047,0.0522720345924869
66,0.047,0.05227570222117278
67,0.047,0.052279019731620566
68,0.047,0.05228202045243716
69,0.047,0.052284734556731535
70,0.047,0.05228718935775899
71,0.047,0.0522894095774324
72,0.047,0.0522914175900871
73,0.047,0.052293233643695064
74,0.047,0.052294876060545385
75,0.047,0.052296361419239906
76,0.047,0.052297704719697316
77,0.047,0.0522989195327139
78,0.047,0.0523000181354951
79,0.047,0.05230101163444842
80,0.047,0.05230191007641399
81,0.047,0.05230272254940451
82,0.047,0.05230345727382986
83,0.047,0.05230412168509384
84,0.047,0.05230472250836958
85,0.047,0.05230526582628665
86,0.047,0.05230575714019541
87,0.047,0.05230620142561313
88,0.047,0.05230660318240001
89,0.047,0.052306966480162746
90,0.047,0.052307294999336694
91,0.047,0.052307592068355654
92,0.047,0.05230786069728
93,0.047,0.052308103608219025
94,0.047,0.05230832326285193
95,0.047,0.05230852188732308
96,0.047,0.05230870149476121
97,0.047,0.052308863905648685
98,0.047,0.0523090107662455
99,0.047,0.052309143565253347
100,0.047,0.05230926364888744
101,0.047,0.05230937223450801
102,0.047,0.0523094704229488
103,0.047,0.052309559209666914
104,0.047,0.05230963949482657
105,0.047,0.052309712092418484
106,0.047,0.05230977773850711
107,0.047,0.052309837098688944
108,0.047,0.052309890774837324
109,0.047,0.05230993931120198
110,0.047,0.052309983199924914
111,0.047,0.05231002288602849
112,0.047,0.0523100587719262
113,0.047,0.05231009122150169
114,0.047,0.052310120563797434
115,0.047,0.05231014709635036
116,0.047,0.052310171088208145
117,0.047,0.05231019278265685
118,0.047,0.0523102123996874
119,0.047,0.05231023013822601
120,0.047,0.05231024617815101
