Time,const_low,const_high,short_low,short_high,long_low,long_high
0,0.042,0.07,0.042,0.042,0.042,0.042
5,0.042,0.07,0.042,0.042,0.042,0.042
10,0.042,0.07,0.042,0.042,0.042,0.042
15,0.042,0.07,0.042,0.042,0.042,0.042
20,0.042,0.07,0.042,0.042,0.042,0.042
25,0.042,0.07,0.042,0.042,0.042,0.0426
30,0.042,0.07,0.042,0.042,0.042,0.0438
35,0.042,0.07,0.042,0.042,0.0425,0.045
40,0.042,0.07,0.042,0.042,0.0432,0.0462
45,0.042,0.07,0.042,0.042,0.0439,0.0474
50,0.042,0.07,0.042,0.042,0.0446,0.0486
55,0.042,0.07,0.042,0.042,0.0453,0.0498
60,0.042,0.07,0.042,0.042,0.046,0.051
65,0.042,0.07,0.042,0.042,0.0467,0.0522
70,0.042,0.07,0.042,0.042,0.0474,0.0534
75,0.042,0.07,0.042,0.042,0.0481,0.0546
80,0.042,0.07,0.042,0.042,0.0488,0.0558
85,0.042,0.07,0.042,0.042,0.0495,0.057
90,0.042,0.07,0.042,0.042,0.0502,0.0582
95,0.042,0.07,0.042,0.042,0.0509,0.0594
100,0.042,0.07,0.042,0.042,0.0516,0.0606
105,0.042,0.07,0.042,0.042,0.0523,0.0618
110,0.042,0.07,0.042,0.042,0.053,0.063
115,0.042,0.07,0.042,0.042,0.0537,0.0642
120,0.042,0.07,0.042,0.042,0.0544,0.0654
125,0.042,0.07,0.042,0.042,0.0551,0.0666
130,0.042,0.07,0.042,0.042,0.0558,0.0678
135,0.042,0.07,0.042,0.042,0.0565,0.069
140,0.042,0.07,0.042,0.042,0.0572,0.0702
145,0.042,0.07,0.042,0.042,0.0579,0.0714
150,0.042,0.07,0.042,0.042,0.0586,0.0726
155,0.042,0.07,0.042,0.042,0.0593,0.0738
160,0.042,0.07,0.06,0.075,0.06,0.075
165,0.042,0.07,0.06,0.075,0.06,0.075
170,0.042,0.07,0.06,0.075,0.06,0.075
175,0.042,0.07,0.06,0.075,0.06,0.075
180,0.042,0.07,0.06,0.075,0.06,0.075
185,0.042,0.07,0.06,0.075,0.06,0.075
190,0.042,0.07,0.06,0.075,0.06,0.075
195,0.042,0.07,0.06,0.075,0.06,0.075
200,0.042,0.07,0.06,0.075,0.06,0.075
205,0.042,0.07,0.06,0.075,0.06,0.075
210,0.042,0.07,0.06,0.075,0.06,0.075
215,0.042,0.07,0.06,0.075,0.06,0.075
220,0.042,0.07,0.06,0.075,0.06,0.075
225,0.042,0.07,0.06,0.075,0.06,0.075
230,0.042,0.07,0.06,0.075,0.06,0.075
235,0.042,0.07,0.042,0.042,0.0593,0.0738
240,0.042,0.07,0.042,0.042,0.0586,0.0726
245,0.042,0.07,0.042,0.042,0.0579,0.0714
250,0.042,0.07,0.042,0.042,0.0572,0.0702
255,0.042,0.07,0.042,0.042,0.0565,0.069
260,0.042,0.07,0.042,0.042,0.0558,0.0678
265,0.042,0.07,0.042,0.042,0.0551,0.0666
270,0.042,0.07,0.042,0.042,0.0544,0.0654
275,0.042,0.07,0.042,0.042,0.0537,0.0642
280,0.042,0.07,0.042,0.042,0.053,0.063
285,0.042,0.07,0.042,0.042,0.0523,0.0618
290,0.042,0.07,0.042,0.042,0.0516,0.0606
295,0.042,0.07,0.042,0.042,0.0509,0.0594
300,0.042,0.07,0.042,0.042,0.0502,0.0582
305,0.042,0.07,0.042,0.042,0.0495,0.057
310,0.042,0.07,0.042,0.042,0.0488,0.0558
315,0.042,0.07,0.042,0.042,0.0481,0.0546
320,0.042,0.07,0.042,0.042,0.0474,0.0534
325,0.042,0.07,0.042,0.042,0.0467,0.0522
330,0.042,0.07,0.042,0.042,0.046,0.051
335,0.042,0.07,0.042,0.042,0.0453,0.0498
340,0.042,0.07,0.042,0.042,0.0446,0.0486
345,0.042,0.07,0.042,0.042,0.0439,0.0474
350,0.042,0.07,0.042,0.042,0.0432,0.0462
355,0.042,0.07,0.042,0.042,0.0425,0.045
360,0.042,0.07,0.042,0.042,0.042,0.0438
365,0.042,0.07,0.042,0.042,0.042,0.0426
370,0.042,0.07,0.042,0.042,0.042,0.042
375,0.042,0.07,0.042,0.042,0.042,0.042
380,0.042,0.07,0.042,0.042,0.042,0.042
385,0.042,0.07,0.042,0.042,0.042,0.042
390,0.042,0.07,0.042,0.042,0.042,0.042
