tau_c_min,A,B,MAE
0.08,0.0001519911082952933,8.6866,0.009492086895359197
0.08,0.00013219411484660288,8.6866,0.00965738302512426
0.08,0.00011497569953977356,8.6866,0.0098782409007727
0.08,0.00017475284000076848,8.6866,0.009950661106922729
0.08,0.0001,8.6866,0.010075334832669886
0.07714285714285715,0.00017475284000076848,8.6866,0.010206995974865848
0.08,8.697490026177834e-05,8.6866,0.010237920491482842
0.07714285714285715,0.00020092330025650479,8.6866,0.010288543831285458
0.07714285714285715,0.0001519911082952933,8.6866,0.01031345580749191
0.08,7.56463327554629e-05,8.6866,0.010408201719211755
